losses/old_approx_kl,losses/explained_variance,losses/policy_loss,losses/value_loss,charts/episodic_return,charts/SPS,charts/episodic_length,losses/entropy,_step,global_step,losses/approx_kl,losses/clipfrac,charts/learning_rate,_runtime,_timestamp
,,,,,,,,0,0,,,,3.085261821746826,1763260014.1149879
,,,,16.0,,16.0,,7,119,,,,3.9419045448303223,1763260014.9716306
,,,,15.0,,15.0,,33,532,,,,4.432849884033203,1763260015.462576
,,,,13.0,,13.0,,41,670,,,,4.562100887298584,1763260015.591827
,,,,9.0,,9.0,,47,756,,,,4.601927042007446,1763260015.631653
,,,,17.0,,17.0,,64,1107,,,,4.961116552352905,1763260015.9908426
-0.0020896177738904953,0.05023908615112305,0.0006067324429750443,0.30654633045196533,,995.0,,0.6896405816078186,74,1280,0.00017273053526878357,0.0,0.0002993087691720575,5.173645257949829,1763260016.2033713
,,,,34.0,,34.0,,77,1359,,,,5.2073540687561035,1763260016.23708
0.001461787149310112,0.14626312255859375,-0.03179360181093216,0.30639639496803284,,978.0,,0.6833904981613159,88,1536,0.0008422601968050003,0.0,0.00029915515915490687,5.4580237865448,1763260016.4877498
,,,,36.0,,36.0,,102,1869,,,,5.730287313461304,1763260016.7600133
,,,,35.0,,35.0,,133,2857,,,,6.679958343505859,1763260017.7096844
,,,,29.0,,29.0,,147,3209,,,,7.026369571685791,1763260018.0560956
,,,,23.0,,23.0,,149,3261,,,,7.047793865203857,1763260018.07752
,,,,24.0,,24.0,,150,3285,,,,7.057456731796265,1763260018.0871828
,,,,36.0,,36.0,,155,3393,,,,7.1704113483428955,1763260018.2001374
-0.004832064732909203,0.09977197647094727,0.00039147958159446716,0.7766947150230408,,1023.0,,0.5270740985870361,157,3456,0.00016466155648231506,0.0,0.00029800308402627707,7.264246940612793,1763260018.293973
,,,,21.0,,21.0,,195,4307,,,,8.062143564224243,1763260019.0918696
,,,,19.0,,19.0,,203,4474,,,,8.20249629020691,1763260019.2322223
,,,,22.0,,22.0,,213,4668,,,,8.42259407043457,1763260019.45232
,,,,32.0,,32.0,,217,4768,,,,8.564460515975952,1763260019.5941865
,,,,21.0,,21.0,,228,5047,,,,8.814330577850342,1763260019.8440566
,,,,44.0,,44.0,,233,5173,,,,8.932821273803711,1763260019.9625473
,,,,76.0,,76.0,,251,5807,,,,9.527774572372437,1763260020.5575006
,,,,53.0,,53.0,,259,6094,,,,9.802825212478638,1763260020.8325512
