global_step,losses/approx_kl,_step,charts/SPS,losses/value_loss,_timestamp,losses/entropy,losses/old_approx_kl,charts/episodic_return,losses/policy_loss,charts/episodic_length,charts/learning_rate,_runtime,losses/explained_variance,losses/clipfrac
0,,0,,,1763260017.2769973,,,,,,,6.260985374450684,,
123,,7,,,1763260018.2071972,,,11.0,,11.0,,7.191185235977173,,
614,,33,,,1763260018.7039716,,,14.0,,14.0,,7.687959671020508,,
733,,41,,,1763260018.8263001,,,16.0,,16.0,,7.810288190841675,,
806,,47,,,1763260018.9309027,,,14.0,,14.0,,7.914890766143799,,
1041,,64,,,1763260019.176202,,,15.0,,15.0,,8.160190105438232,,
1164,,74,,,1763260019.3066049,,,12.0,,12.0,,8.290592908859253,,
1203,,77,,,1763260019.3257134,,,13.0,,13.0,,8.309701442718506,,
1323,,88,,,1763260019.454108,,,11.0,,11.0,,8.438096046447754,,
1792,0.0007397234439849854,133,966.0,0.7215543985366821,1763260020.0061045,0.25659388303756714,-0.009634360671043396,,-0.0016189180314540863,,0.00029900154913775623,8.990092515945435,-0.058736324310302734,0.0
1920,2.584792673587799e-05,147,961.0,0.7259897589683533,1763260020.1503284,0.230177104473114,-0.006645252928137779,,-0.0013084523379802704,,0.0002989247441291809,9.134316444396973,-0.030104875564575195,0.0
1940,,149,,,1763260020.1610732,,,10.0,,10.0,,9.145061254501343,,
1950,,150,,,1763260020.167156,,,10.0,,10.0,,9.151144027709961,,
2000,,155,,,1763260020.1912408,,,11.0,,11.0,,9.175228834152222,,
2020,,157,,,1763260020.2014854,,,10.0,,10.0,,9.185473442077637,,
2395,,195,,,1763260020.6277134,,,12.0,,12.0,,9.611701488494873,,
2461,,203,,,1763260020.788706,,,9.0,,9.0,,9.772694110870361,,
2556,,213,,,1763260020.8710775,,,10.0,,10.0,,9.85506558418274,,
2592,,217,,,1763260020.9656148,,,17.0,,17.0,,9.949602842330933,,
2691,,228,,,1763260021.0891714,,,10.0,,10.0,,10.073159456253052,,
2736,,233,,,1763260021.1130574,,,10.0,,10.0,,10.097045421600342,,
2894,,251,,,1763260021.2901406,,,9.0,,9.0,,10.274128675460815,,
2973,,259,,,1763260021.4096441,,,9.0,,9.0,,10.393632173538208,,
3028,,265,,,1763260021.4428434,,,9.0,,9.0,,10.426831483840942,,
3102,,273,,,1763260021.5695274,,,10.0,,10.0,,10.553515434265137,,
3111,,274,,,1763260021.573754,,,9.0,,9.0,,10.55774211883545,,
3290,,292,,,1763260021.7329447,,,9.0,,9.0,,10.716932773590088,,
3623,,327,,,1763260022.1668823,,,9.0,,9.0,,11.150870323181152,,
3658,,330,,,1763260022.183284,,,14.0,,14.0,,11.167272090911865,,
3676,,332,,,1763260022.1957402,,,9.0,,9.0,,11.179728269577026,,
3770,,340,,,1763260022.3617692,,,16.0,,16.0,,11.345757246017456,,
4166,,370,,,1763260022.7524104,,,11.0,,11.0,,11.736398458480835,,
4902,,396,,,1763260023.4968371,,,41.0,,41.0,,12.480825185775757,,
6082,,425,,,1763260024.569598,,,36.0,,36.0,,13.55358600616455,,
6571,,441,,,1763260025.0300019,,,39.0,,39.0,,14.013989925384521,,
6844,,450,,,1763260025.2985532,,,35.0,,35.0,,14.282541275024414,,
7569,,471,,,1763260025.9820623,,,37.0,,37.0,,14.966050386428833,,
7944,,481,,,1763260026.3539386,,,38.0,,38.0,,15.337926626205444,,
8448,0.006093213334679604,490,976.0,0.20036384463310242,1763260026.8044775,0.2732391357421875,0.01931666024029255,,-0.027620412409305573,,0.0002950076886918396,15.78846549987793,0.1960851550102234,0.037109375
9201,,504,,,1763260027.8095615,,,94.0,,94.0,,16.79354953765869,,
9856,0.0028048306703567505,515,925.0,8.39898681640625,1763260028.7997758,0.3093765377998352,-0.010369805619120598,,-0.0017320290207862854,,0.00029416283359751105,17.783763885498047,0.6715635657310486,0.017578125
10770,,530,,,1763260029.825233,,,129.0,,129.0,,18.809221029281616,,
11224,,539,,,1763260030.215823,,,76.0,,76.0,,19.19981098175049,,
11927,,555,,,1763260030.931994,,,64.0,,64.0,,19.915982007980347,,
12098,,559,,,1763260031.0633504,,,52.0,,52.0,,20.047338485717773,,
