losses/approx_kl,charts/learning_rate,_step,_timestamp,charts/SPS,losses/value_loss,losses/old_approx_kl,charts/episodic_return,losses/entropy,losses/policy_loss,losses/explained_variance,global_step,losses/clipfrac,_runtime,charts/episodic_length
,,0,1763260102.238054,,,,,,,,0,,24.331287145614624,
,,7,1763260104.090303,,,,19.0,,,,112,,26.183536052703857,19.0
,,33,1763260104.7568316,,,,14.0,,,,529,,26.850064754486084,14.0
,,41,1763260104.9557223,,,,15.0,,,,675,,27.04895544052124,15.0
,,47,1763260105.1191595,,,,10.0,,,,799,,27.212392568588257,10.0
,,64,1763260105.5549128,,,,16.0,,,,1138,,27.64814591407776,16.0
,,74,1763260105.8585882,,,,15.0,,,,1291,,27.951821327209473,15.0
,,77,1763260105.9264963,,,,43.0,,,,1373,,28.019729375839233,43.0
,,88,1763260106.2631812,,,,41.0,,,,1634,,28.356414318084717,41.0
,,102,1763260106.7242153,,,,15.0,,,,1979,,28.817448377609253,15.0
,,104,1763260106.7668402,,,,31.0,,,,2024,,28.86007332801819,31.0
2.1344982087612152e-05,0.0002981566940434277,133,1763260107.973563,794.0,405.5693664550781,-0.0007918579503893852,,0.5724337100982666,-0.0015287920832633972,0.0044705867767333984,3200,0.0,30.06679606437683,
9.70344990491867e-06,0.0002978494740091264,147,1763260108.4469473,824.0,181.36990356445312,-0.00023988168686628342,,0.5880523324012756,7.203780114650726e-05,0.043500542640686035,3712,0.0,30.540180444717407,
,,149,1763260108.482648,,,,54.0,,,,3815,,30.575881004333496,54.0
0.00021235179156064987,0.0002977726690005511,150,1763260108.5618086,831.0,153.67774963378906,-0.004625455476343632,,0.5733247995376587,-0.004988938570022583,0.0653119683265686,3840,0.0,30.655041694641113,
,,155,1763260108.738396,,,,40.0,,,,4071,,30.831629037857056,40.0
,,157,1763260108.8248112,,,,38.0,,,,4109,,30.918044328689575,38.0
,,172,1763260109.3218286,,,,37.0,,,,4707,,31.415061712265015,37.0
,,195,1763260110.3736203,,,,140.0,,,,5814,,32.46685338020325,140.0
,,203,1763260110.7646747,,,,113.0,,,,6264,,32.85790777206421,113.0
6.0840509831905365e-05,0.0002959293487947434,213,1763260111.4078474,926.0,541.7472534179688,0.000690157525241375,,0.6213228106498718,-0.0015575289726257324,0.02353060245513916,6912,0.0,33.50108051300049,
2.8624199330806732e-05,0.0002958525437861681,217,1763260111.5262878,928.0,195.48388671875,-0.0016461154446005821,,0.5635468363761902,0.00042657554149627686,0.010646820068359375,7040,0.0,33.61952090263367,
,,228,1763260112.1520686,,,,222.0,,,,7756,,34.245301723480225,222.0
,,233,1763260112.6499107,,,,103.0,,,,8002,,34.743143796920776,103.0
0.00026070140302181244,0.000294623663648963,251,1763260113.8871331,914.0,136.68006896972656,-0.0035949070006608963,,0.5740700364112854,0.0022971555590629578,0.057636559009552,9088,0.0,35.980366230010986,
6.462447345256805e-06,0.0002942396386060864,259,1763260114.5223324,919.0,355.9876708984375,-0.0010216692462563515,,0.6247047781944275,-0.0006467793136835098,-0.0017321109771728516,9728,0.0,36.61556553840637,
0.0002636220306158066,0.0002939324185717851,265,1763260115.0622358,921.0,873.4635620117188,0.006990790367126465,,0.6230660676956177,-0.0007803905755281448,0.005678415298461914,10240,0.0,37.15546894073486,
2.455059438943863e-05,0.0002936251985374838,273,1763260115.5230072,928.0,276.9191589355469,-0.000764927826821804,,0.6024069786071777,0.0005484595894813538,0.002366006374359131,10752,0.0,37.61624026298523,
,,274,1763260115.5322843,,,,103.0,,,,10774,,37.62551736831665,103.0
,,292,1763260116.7298236,,,,143.0,,,,12159,,38.82305669784546,143.0
0.0005897525697946548,0.0002913210482802242,327,1763260119.0326903,967.0,312.2478332519531,0.007168209180235863,,0.6245283484458923,-0.008502308279275894,0.19736546277999878,14592,0.0,41.12592339515686,
0.004934727214276791,0.00029116743826307356,330,1763260119.296268,967.0,103.53839874267578,0.04540577530860901,,0.5838327407836914,-0.02808474190533161,0.2624169588088989,14848,0.00390625,41.389501094818115,
0.000161648727953434,0.00029109063325449824,332,1763260119.408879,968.0,345.60614013671875,0.00010171625763177872,,0.6085533499717712,-0.0015405621379613876,0.014760255813598633,14976,0.0,41.50211215019226,
,,337,1763260119.6352305,,,,139.0,,,,15235,,41.728463649749756,139.0
,,340,1763260119.7792659,,,,25.0,,,,15454,,41.872498989105225,25.0
,,370,1763260121.6596646,,,,190.0,,,,17463,,43.7528977394104,190.0
3.529433161020279e-05,0.0002883256529457867,396,1763260123.6198523,995.0,465.26971435546875,-0.0007387353107333183,,0.5809009075164795,-0.0004134327173233032,-0.00832366943359375,19584,0.0,45.713085412979126,
0.00012899748980998993,0.00028686635778285563,425,1763260125.868802,1004.0,391.94525146484375,0.0013174023479223251,,0.5865210890769958,-0.00037123262882232666,0.0008442401885986328,22016,0.0,47.962035179138184,
6.207264959812164e-06,0.00028609830769710243,441,1763260127.0265675,1009.0,365.9061279296875,-7.054675370454788e-05,,0.5500532388687134,-0.00011453405022621155,0.018970847129821777,23296,0.0,49.11980056762695,
0.0002547064796090126,0.0002856374776456505,450,1763260127.7330108,1011.0,299.6529235839844,-0.002915279008448124,,0.6100703477859497,0.00151016004383564,0.21942973136901855,24064,0.0,49.82624387741089,
,,471,1763260129.24234,,,,178.0,,,,25780,,51.33557319641113,178.0
,,481,1763260129.952021,,,,168.0,,,,26564,,52.04525399208069,168.0
,,490,1763260130.6253233,,,,241.0,,,,27357,,52.71855640411377,241.0
