global_step,losses/old_approx_kl,losses/approx_kl,charts/learning_rate,losses/entropy,_runtime,charts/episodic_return,losses/value_loss,charts/SPS,losses/policy_loss,_step,_timestamp,losses/explained_variance,losses/clipfrac,charts/episodic_length
0,,,,,24.432461500167847,,,,,0,1763260100.5861216,,,
108,,,,,25.347766876220703,13.0,,,,7,1763260101.501427,,,13.0
640,0.001682046800851822,0.000971328467130661,0.0002996927942149341,0.6799881458282471,27.70413088798523,,85.92957305908203,266.0,-0.0015175864100456238,33,1763260103.857791,-0.0017600059509277344,0.0,
816,,,,,28.34833574295044,31.0,,,,41,1763260104.5019958,,,31.0
944,,,,,28.88153839111328,26.0,,,,47,1763260105.0351985,,,26.0
1408,0.00868906732648611,0.0009879814460873604,0.0002992319641634822,0.650092601776123,30.702970266342163,,158.75860595703125,260.0,0.0063689351081848145,64,1763260106.8566303,0.011059820652008057,0.0,
1740,,,,,31.66058111190796,64.0,,,,74,1763260107.8142412,,,64.0
1837,,,,,32.02398157119751,44.0,,,,77,1763260108.1776416,,,44.0
2304,-6.791017949581146e-05,3.096088767051697e-05,0.00029869432910345495,0.6243405938148499,33.45808506011963,,347.3068542480469,282.0,0.0015232674777507782,88,1763260109.611745,0.012080669403076172,0.0,
2940,,,,,35.08925914764404,34.0,,,,102,1763260111.2429192,,,34.0
3070,,,,,35.41037964820862,130.0,,,,104,1763260111.5640397,,,130.0
4338,,,,,38.98453140258789,73.0,,,,133,1763260115.1381915,,,73.0
5029,,,,,40.83204388618469,76.0,,,,147,1763260116.985704,,,76.0
5120,-0.003100961446762085,0.00015264563262462616,0.0002970046189147979,0.6029288172721863,41.14026427268982,,160.3185272216797,323.0,0.00046872347593307495,149,1763260117.2939243,0.07999902963638306,0.0,
5226,,,,,41.206382036209106,155.0,,,,150,1763260117.360042,,,155.0
5376,-0.0019209710881114006,0.00012581516057252884,0.00029685100889764726,0.5583703517913818,41.85602140426636,,110.93382263183594,324.0,0.00021950900554656982,155,1763260118.0096815,-0.017039179801940918,0.0,
5504,-9.231828153133392e-05,8.111819624900818e-06,0.00029677420388907194,0.6032929420471191,42.13922691345215,,471.229248046875,326.0,-0.0010291561484336853,157,1763260118.292887,0.006313443183898926,0.0,
6431,,,,,44.19193243980408,153.0,,,,172,1763260120.3455925,,,153.0
8142,,,,,47.65230393409729,226.0,,,,195,1763260123.805964,,,226.0
8704,0.0023409249261021614,6.799120455980301e-05,0.00029485407867468894,0.5872897505760193,48.84592628479004,,441.44000244140625,369.0,-0.0011078822426497936,203,1763260124.9995863,0.054111361503601074,0.0,
9281,,,,,49.991004943847656,160.0,,,,213,1763260126.144665,,,160.0
9502,,,,,50.51251673698425,141.0,,,,217,1763260126.6661768,,,141.0
10171,,,,,51.90304112434387,122.0,,,,228,1763260128.0567012,,,122.0
10557,,,,,52.66846013069153,209.0,,,,233,1763260128.8221202,,,209.0
11799,,,,,55.23055577278137,177.0,,,,251,1763260131.3842158,,,177.0
12438,,,,,56.67154598236084,232.0,,,,259,1763260132.825206,,,232.0
12876,,,,,57.61811089515686,185.0,,,,265,1763260133.771771,,,185.0
13446,,,,,59.13951563835144,69.0,,,,273,1763260135.2931757,,,69.0
13568,-0.0017523420974612236,8.181575685739517e-05,0.00029193548834882677,0.5973332524299622,59.42306637763977,,546.1503295898438,397.0,0.0005957409739494324,274,1763260135.5767264,0.03293299674987793,0.0,
14829,,,,,62.74367642402649,142.0,,,,292,1763260138.8973365,,,142.0
16896,-0.0017026560381054878,2.1041370928287506e-05,0.00028993855812586844,0.6018658876419067,67.58496189117432,,413.96783447265625,399.0,-0.0011145994067192078,321,1763260143.738622,0.01654791831970215,0.0,
17643,,,,,68.97329092025757,363.0,,,,327,1763260145.126951,,,363.0
17819,,,,,69.46145629882812,176.0,,,,330,1763260145.6151164,,,176.0
18048,-0.00022599752992391586,0.00015274528414011002,0.00028924731304869056,0.5776883363723755,69.9508695602417,,527.637451171875,404.0,-0.005245111882686615,332,1763260146.1045296,0.02311640977859497,0.0,
18432,0.003252078779041767,0.00016307365149259567,0.0002890168980229646,0.5949895977973938,70.76940178871155,,405.0556335449219,405.0,-0.0006054863333702087,337,1763260146.9230618,0.05359095335006714,0.0,
18688,-0.0009290566667914391,3.9472244679927826e-05,0.00028886328800581396,0.5946012139320374,71.30269384384155,,376.89910888671875,406.0,-0.0003516785800457001,340,1763260147.456354,0.002725362777709961,0.0,
21376,0.0002197781577706337,0.0001874743029475212,0.00028725038282573223,0.5699342489242554,76.85803437232971,,337.22882080078125,414.0,-0.005166038870811462,370,1763260153.0116944,0.005569815635681152,0.0,
21800,,,,,77.73745012283325,139.0,,,,375,1763260153.8911102,,,139.0
23680,-0.0014743097126483917,1.5333294868469238e-05,0.00028586789267137647,0.5166028738021851,81.72301006317139,,139.5265350341797,419.0,-0.0008156634867191315,396,1763260157.8766701,0.04765200614929199,0.0,
26624,-0.0036658886820077896,0.0009470023214817047,0.0002841013774741441,0.5168180465698242,87.53825736045837,,253.16165161132812,427.0,-0.0053164102137088776,425,1763260163.6919174,-0.01287078857421875,0.0,
28077,,,,,90.43346786499023,267.0,,,,441,1763260166.587128,,,267.0
28928,0.004760195501148701,0.0016042022034525871,0.00028271888731978834,0.4945386052131653,92.27060532569885,,98.2038345336914,431.0,-0.002633236348628998,450,1763260168.4242654,0.6270380020141602,0.0,
30720,-0.004416298121213913,0.0013159699738025665,0.00028164361719973385,0.47632330656051636,96.14919424057007,,335.8889465332031,433.0,0.0016297325491905212,471,1763260172.3028543,-0.016681551933288574,0.0078125,
31546,,,,,97.84944462776184,273.0,,,,481,1763260174.0031047,,,273.0
32236,,,,,99.30609560012817,285.0,,,,490,1763260175.4597557,,,285.0
33280,0.00935356318950653,0.0064706625416874886,0.00028010751702822745,0.5457650423049927,101.7584228515625,,252.7068634033203,435.0,0.02835949882864952,504,1763260177.912083,-0.19232583045959473,0.013671875,
34304,0.002772959880530834,0.00011621881276369095,0.0002794930769596249,0.5116598606109619,103.87291049957275,,404.5035705566406,436.0,-0.004793908447027206,515,1763260180.0265706,0.019309639930725098,0.0,
35742,,,,,106.797034740448,309.0,,,,530,1763260182.9506948,,,309.0
36480,0.00902615487575531,0.0007783193141222,0.00027818739181384444,0.5273740291595459,108.41824126243591,,139.65731811523438,438.0,-0.005118481814861298,539,1763260184.5719013,0.5314120054244995,0.0,
37248,0.0022770166397094727,9.075365960597992e-05,0.0002777265617623925,0.5132972598075867,110.0002031326294,,297.59759521484375,439.0,-0.0005345623940229416,547,1763260186.1538632,0.47999101877212524,0.0,
38073,,,,,111.57597875595093,453.0,,,,555,1763260187.7296388,,,453.0
38400,0.00253849383443594,0.0002166246995329857,0.00027703531668521464,0.4947427809238434,112.37990498542786,,278.4975280761719,440.0,-0.0037007033824920654,559,1763260188.533565,0.44409215450286865,0.0,
39168,0.0008508730679750443,0.00012199580669403076,0.0002765744866337627,0.5343934893608093,114.04006433486938,,204.7477264404297,441.0,-0.004106348380446434,568,1763260190.1937244,0.5338091850280762,0.0,
41344,0.007895020768046379,0.0009064134210348129,0.00027526883059181273,0.5235861539840698,118.81278824806213,,15.263692855834961,442.0,-0.0115555040538311,595,1763260194.9664483,0.8528296947479248,0.0,
42880,-0.005901601165533066,0.0018972475081682205,0.0002743471704889089,0.5328521132469177,121.99831795692444,,171.20164489746094,443.0,0.010321293026208878,612,1763260198.151978,0.3787616491317749,0.0078125,
43097,,,,,122.30501866340637,319.0,,,,614,1763260198.4586787,,,319.0
44402,,,,,125.14786291122437,203.0,,,,630,1763260201.301523,,,203.0
44907,,,,,126.24253582954407,258.0,,,,636,1763260202.396196,,,258.0
45184,-0.0009626727551221848,7.884576916694641e-05,0.0002729646803345531,0.4788039028644562,127.05271649360657,,71.2373046875,444.0,-0.0005102306604385376,640,1763260203.2063766,0.7632626295089722,0.0,
46080,-0.0013369331136345863,3.0185095965862274e-05,0.0002724270452745259,0.5420858263969421,128.98456168174744,,36.80046081542969,444.0,-0.0029129572212696075,650,1763260205.1382217,0.8934584856033325,0.0,
47360,0.0007888991385698318,1.2921169400215149e-05,0.0002716589951887727,0.5046300292015076,131.63151860237122,,32.900028228759766,445.0,-0.00030928850173950195,664,1763260207.7851787,0.5252834558486938,0.0,
49024,0.001232803799211979,9.9940225481987e-06,0.0002706605300772935,0.5329421758651733,135.29183959960938,,748.7312622070312,445.0,-0.000893130898475647,684,1763260211.4454997,0.02394580841064453,0.0,
49408,-0.00031300634145736694,1.51805579662323e-06,0.00027043011505156755,0.534909725189209,136.1377272605896,,692.9989624023438,445.0,0.0006451047956943512,689,1763260212.2913873,0.016780316829681396,0.0,
50176,-3.563053905963898e-05,1.1175870895385742e-08,0.00026996928500011563,0.5704504251480103,137.77666807174683,,36.76957702636719,446.0,-4.8395246267318726e-05,698,1763260213.9303281,0.031176507472991943,0.0,
50560,-0.006453180685639381,0.0005181431770324707,0.00026973886997438967,0.607357919216156,138.54602575302124,,28.978023529052734,446.0,-0.00811968557536602,702,1763260214.6996858,0.36962223052978516,0.0,
50878,,,,,139.17225098609924,74.0,,,,707,1763260215.325911,,,74.0
52736,-0.002355029806494713,0.00011856667697429657,0.00026843318482860923,0.5132555961608887,143.22538948059082,,31.603309631347656,447.0,-0.0007412359118461609,729,1763260219.3790495,0.05484640598297119,0.0,
55296,0.004621438682079315,0.00024082697927951813,0.0002668970846571028,0.5299857258796692,148.54339003562927,,27.606632232666016,448.0,-0.004680080339312553,757,1763260224.69705,0.6058577299118042,0.0,
55808,0.003238856792449951,0.0004602540284395218,0.00026658986462280154,0.4943532645702362,149.57794451713562,,30.171566009521484,449.0,0.00672786682844162,762,1763260225.7316046,-0.271328330039978,0.0,
56219,,,,,150.42019510269165,354.0,,,,767,1763260226.5738552,,,354.0
57088,-0.00022660382091999054,7.295981049537659e-05,0.00026582181453704834,0.5135205388069153,152.16661047935486,,243.66323852539062,449.0,0.00039470940828323364,775,1763260228.3202705,-0.205452561378479,0.0,
58368,0.008983416482806206,0.0010431502014398575,0.00026505376445129514,0.5243285298347473,154.708069562912,,18.894731521606445,451.0,0.002966567873954773,788,1763260230.8617296,0.39595264196395874,0.0,
59264,-0.003970311023294926,0.00013931747525930405,0.0002645161293912679,0.5124142169952393,156.51995611190796,,13.874056816101074,451.0,0.0022611916065216064,797,1763260232.6736162,0.11168795824050903,0.0,
60076,,,,,158.1799292564392,432.0,,,,806,1763260234.3335893,,,432.0
61003,,,,,160.00525498390198,427.0,,,,815,1763260236.158915,,,427.0
65792,-0.003219173289835453,0.00010351557284593582,0.00026059907395392656,0.5366218090057373,169.63529467582703,,3.05375337600708,455.0,0.002660214900970459,863,1763260245.7889547,0.024507224559783936,0.0,
66688,0.0009190952405333519,8.648354560136795e-05,0.0002600614388938993,0.5858811736106873,171.42578601837158,,1.5813900232315063,456.0,0.001230703666806221,872,1763260247.579446,-0.0031195878982543945,0.0,
67072,0.000469784252345562,1.3132579624652863e-05,0.00025983102386817336,0.5499379634857178,172.24109148979187,,1.6586605310440063,456.0,-5.986541509628296e-06,876,1763260248.3947515,-0.0014892816543579102,0.0,
71680,0.06260191649198532,0.008535940200090408,0.00025706604355946183,0.5033387541770935,181.51651263237,,0.003988801036030054,458.0,-0.000957997515797615,922,1763260257.6701727,-0.6126382350921631,0.009765625,
72522,,,,,183.03955817222595,500.0,,,,930,1763260259.1932182,,,500.0
73264,,,,,184.19169807434082,242.0,,,,938,1763260260.3453581,,,242.0
73600,-0.003681081347167492,9.453762322664261e-05,0.00025591396843083203,0.5020835995674133,184.5891978740692,,0.0010827351361513138,462.0,-0.00037856586277484894,941,1763260260.742858,0.0948215126991272,0.0,
73728,0.00818693172186613,0.004295784048736095,0.0002558371634222567,0.44636285305023193,184.72443842887878,,0.00030119690927676857,462.0,-0.0024063289165496826,942,1763260260.8780985,0.47587692737579346,0.009765625,
74264,,,,,185.3388659954071,500.0,,,,948,1763260261.492526,,,500.0
76817,,,,,189.34871459007263,500.0,,,,974,1763260265.5023746,,,500.0
77440,-0.0027187904343008995,0.00012466777116060257,0.0002536098181735724,0.43289923667907715,190.52831530570984,,292.9358215332031,468.0,0.0027603358030319214,980,1763260266.6819754,0.000693976879119873,0.0,
77952,-0.006483273580670357,0.002217935398221016,0.00025330259813927114,0.2718144655227661,191.46681022644043,,0.006597676780074835,469.0,-0.007082447409629822,985,1763260267.6204703,-0.04410994052886963,0.00390625,
78976,-0.001987168565392494,0.017047995701432228,0.0002526881580706686,0.3264918923377991,193.36214661598206,,0.004352482967078686,469.0,-0.02110900543630123,995,1763260269.5158067,-8.726593971252441,0.041015625,
79232,0.00013217609375715256,0.0003255261108279228,0.00025253454805351794,0.3215302526950836,193.8758020401001,500.0,1728.85498046875,470.0,-0.006814926862716675,997,1763260270.029462,0.099814772605896,0.0,500.0
81043,,,,,196.37444734573364,500.0,,,,1015,1763260272.5281074,,,500.0
81536,-5.66849485039711e-05,0.001374891959130764,0.00025115208700299263,0.3774743974208832,196.95211553573608,,0.007502512075006962,475.0,-0.0023115575313568115,1020,1763260273.1057756,0.8849979639053345,0.00390625,
82560,0.007413712330162525,0.00026219990104436874,0.00025053764693439007,0.4031003415584564,198.2617893218994,,6.029408931732178,477.0,-0.004884853959083557,1031,1763260274.4154494,-0.29097747802734375,0.0,
84480,-0.007129203528165817,0.0004070848226547241,0.00024938557180576026,0.3038153648376465,201.93832683563232,,0.0013390254462137818,478.0,-0.00924957450479269,1050,1763260278.091987,-0.43744587898254395,0.0,
84736,0.0011254632845520973,9.778235107660294e-05,0.0002492319617886096,0.34748178720474243,202.44384789466858,,0.005991211626678705,478.0,-0.0012932270765304565,1053,1763260278.597508,0.17948341369628906,0.0,
85248,-0.0005618222057819366,0.0008324291557073593,0.00024892474175430834,0.3286244869232178,203.3781988620758,,0.004927635192871094,478.0,0.0007891431450843811,1058,1763260279.531859,-0.2370891571044922,0.0,
87808,-0.007474865764379501,0.007409644313156605,0.00024738864158280194,0.3445371985435486,207.48363590240479,,0.0014645493356510997,481.0,-0.041699592024087906,1083,1763260283.637296,0.06088137626647949,0.01953125,
88576,0.002267441712319851,0.0005119992420077324,0.00024692781153135,0.3725346028804779,208.3146152496338,,613.2048950195312,483.0,-0.01259668916463852,1091,1763260284.4682753,0.00022268295288085938,0.00390625,
90080,,,,,209.98661708831787,397.0,,,,1106,1763260286.1402771,,,397.0
91264,0.0033447230234742165,0.0008998056873679161,0.0002453149063512683,0.36012792587280273,211.44554495811462,,0.00251174857839942,490.0,-0.008679119870066643,1118,1763260287.599205,-1.988337755203247,0.0,
92032,0.0030584540218114853,0.0001694224774837494,0.00024485407629981637,0.4032082259654999,212.3134024143219,,9.4910888671875,492.0,0.0012334324419498444,1125,1763260288.4670625,0.3025319576263428,0.0,
92800,0.00473148375749588,0.0016756150871515274,0.00024439324624836445,0.4043146073818207,213.2074158191681,,0.11301381886005402,493.0,-0.011091440916061401,1133,1763260289.3610759,0.3835826516151428,0.0,
93952,0.007701393216848373,0.0008164737373590469,0.00024370200117118657,0.3992963135242462,214.8435764312744,,1312.318603515625,495.0,-0.016918376088142395,1145,1763260290.9972365,0.00041806697845458984,0.0,
95926,,,,,218.4239046573639,500.0,,,,1164,1763260294.5775647,,,500.0
96000,-0.0017639035359025002,0.0006728479638695717,0.00024247312103398144,0.43782302737236023,218.63484287261963,,1243.516357421875,496.0,0.004215117543935776,1165,1763260294.788503,-0.0004483461380004883,0.0,
96768,0.02886488288640976,0.009550283662974834,0.00024201229098252952,0.3912804424762726,220.0062279701233,,0.0014464675914496183,496.0,-0.022483516484498978,1172,1763260296.159888,0.5533320903778076,0.037109375,
97664,0.02337711676955223,0.002878304570913315,0.00024147465592250228,0.39268958568573,221.64453983306885,,0.004923416301608086,497.0,-0.0021095313131809235,1181,1763260297.7982,0.26927435398101807,0.0,
98176,0.06902958452701569,0.010743089951574802,0.000241167435888201,0.4478977918624878,222.54061031341553,,0.000817376421764493,497.0,-0.0059477947652339935,1186,1763260298.6942704,0.5482165813446045,0.033203125,
99328,0.014056033454835415,0.0020722029730677605,0.00024047619081102312,0.4594888687133789,224.66469430923462,,0.0004167707811575383,498.0,-0.012251034379005432,1197,1763260300.8183544,0.8314297795295715,0.009765625,
100875,,,,,226.99829769134521,500.0,,,,1213,1763260303.1519578,,,500.0
101120,0.0017266524955630302,0.0008502593263983727,0.00023940092069096863,0.4090588092803955,227.26914381980896,,0.004922410938888788,500.0,0.0014849547296762466,1215,1763260303.4228039,0.7485743165016174,0.0,
102272,0.013901615515351295,0.0010202676057815552,0.00023870967561379075,0.397350937128067,228.575599193573,,0.00029261817689985037,503.0,0.006028376519680023,1226,1763260304.7292593,-0.799288272857666,0.00390625,
102656,-0.006663896143436432,0.013186926953494549,0.0002384792605880648,0.4611043334007263,229.0853374004364,,0.001534597366116941,503.0,-0.025354832410812378,1230,1763260305.2389975,-1.1029679775238037,0.03515625,
