global_step,losses/old_approx_kl,charts/learning_rate,losses/clipfrac,losses/policy_loss,_step,charts/episodic_length,losses/approx_kl,_runtime,charts/SPS,losses/value_loss,_timestamp,losses/entropy,losses/explained_variance,charts/episodic_return
0,,,,,0,,,24.427043914794922,,,1763260100.5810719,,,
124,,,,,7,13.0,,25.353115797042847,,,1763260101.5071437,,,13.0
624,,,,,33,23.0,,27.411282777786255,,,1763260103.5653107,,,23.0
879,,,,,41,24.0,,28.200469970703125,,,1763260104.354498,,,24.0
987,,,,,47,38.0,,28.749252796173096,,,1763260104.9032807,,,38.0
1396,,,,,64,35.0,,30.22263216972351,,,1763260106.37666,,,35.0
1662,,,,,74,21.0,,31.171880960464478,,,1763260107.325909,,,21.0
1723,,,,,77,46.0,,31.518516778945923,,,1763260107.6725447,,,46.0
1986,,,,,88,13.0,,32.52117967605591,,,1763260108.6752076,,,13.0
2445,,,,,102,101.0,,34.042983531951904,,,1763260110.1970115,,,101.0
2560,0.006480843760073185,0.0002985407190863043,0.0,-0.011714108288288116,104,,0.0006804438307881355,34.374194860458374,282.0,468.5885009765625,1763260110.5282228,0.6305841207504272,0.0036899447441101074,
3992,,,,,133,88.0,,38.05791926383972,,,1763260114.2119472,,,88.0
4861,,,,,147,64.0,,39.940739154815674,,,1763260116.094767,,,64.0
4992,0.00060319434851408,0.0002970814239233732,0.0,0.004480503499507904,149,,0.0001039532944560051,40.438379764556885,329.0,1178.6199951171875,1763260116.5924077,0.6017234921455383,-0.046109795570373535,
5053,,,,,150,192.0,,40.488396644592285,,,1763260116.6424246,,,192.0
5311,,,,,155,35.0,,41.13477635383606,,,1763260117.2888043,,,35.0
5381,,,,,157,70.0,,41.42751216888428,,,1763260117.58154,,,70.0
6400,-0.000140470452606678,0.0002962365688290447,0.0,0.00537591427564621,172,,0.0002480531111359596,43.597832679748535,349.0,921.72607421875,1763260119.7518606,0.5832332372665405,0.01355886459350586,
7680,0.0001087430864572525,0.0002954685187432915,0.0,0.0003754757344722748,195,,7.82310962677002e-06,46.56973719596863,361.0,173.91372680664062,1763260122.7237651,0.5894001126289368,0.06069207191467285,
8115,,,,,203,114.0,,47.45850491523743,,,1763260123.6125329,,,114.0
