charts/learning_rate,global_step,charts/episodic_return,losses/explained_variance,losses/policy_loss,losses/old_approx_kl,_step,_timestamp,charts/SPS,losses/clipfrac,losses/approx_kl,charts/episodic_length,losses/entropy,losses/value_loss,_runtime
,0,,,,,0,1763260102.9411976,,,,,,,24.4124755859375
,134,38.0,,,,7,1763260114.7034748,,,,38.0,,,36.174752712249756
,671,19.0,,,,33,1763260116.4053688,,,,19.0,,,37.876646757125854
,845,11.0,,,,41,1763260116.9251192,,,,11.0,,,38.39639711380005
,1045,13.0,,,,47,1763260117.5169516,,,,13.0,,,38.988229513168335
,1492,13.0,,,,64,1763260118.7520063,,,,13.0,,,40.22328424453735
0.0002989247441291809,1920,,0.011044323444366455,-0.0005378201603889465,-0.0038381004706025124,74,1763260119.7473192,281.0,0.0,0.0003288043662905693,,0.6204602718353271,366.6868591308594,41.218597173690796
0.0002988479391206056,2048,,-0.004967927932739258,0.005442529916763306,-0.005981467664241791,77,1763260120.0261638,288.0,0.0,0.0004165302962064743,,0.615267813205719,431.7962646484375,41.49744176864624
,2640,102.0,,,,88,1763260121.0517023,,,,102.0,,,42.52298021316528
,3441,63.0,,,,102,1763260122.5316627,,,,63.0,,,44.00294065475464
,3498,57.0,,,,104,1763260122.7681231,,,,57.0,,,44.23940110206604
,5149,73.0,,,,133,1763260125.6223986,,,,73.0,,,47.09367656707764
,5774,35.0,,,,147,1763260126.8388288,,,,35.0,,,48.31010675430298
0.000296543788863346,5888,,0.015862643718719482,9.219348430633545e-05,-5.76116144657135e-06,149,1763260127.0729208,416.0,0.0,3.6656856536865234e-06,,0.6215662956237793,234.41134643554688,48.544198751449585
,5916,94.0,,,,150,1763260127.1173465,,,,94.0,,,48.588624477386475
,6250,210.0,,,,155,1763260127.6439254,,,,210.0,,,49.11520338058472
,6274,24.0,,,,157,1763260127.8528197,,,,24.0,,,49.324097633361816
0.00029569893376901746,7296,,-0.0056133270263671875,6.909668445587158e-05,-0.002312963828444481,172,1763260129.6779826,435.0,0.0,5.7188794016838074e-05,,0.5987563729286194,673.6217651367188,51.14926052093506
0.00029493088368326426,8576,,0.0070858001708984375,-0.0016038119792938232,-0.0011364491656422615,195,1763260132.3170586,442.0,0.0,4.523899406194687e-05,,0.5932807922363281,149.51377868652344,53.788336515426636
0.00029454685864038765,9216,,-0.002077937126159668,-0.002934154123067856,-0.0018796240910887718,203,1763260133.5634105,446.0,0.0,0.0003344891592860222,,0.5793631076812744,794.8148193359375,55.0346884727478
0.00029416283359751105,9856,,0.09902358055114746,-0.0002651587128639221,0.0007215682417154312,213,1763260135.0640957,445.0,0.0,7.461756467819214e-06,,0.5801244974136353,589.3054809570312,56.53537368774414
0.0002940092235803604,10112,,0.042608797550201416,-0.0005154646933078766,-0.0014487886801362038,217,1763260135.6629384,444.0,0.0,0.002954193390905857,,0.5922659635543823,241.73553466796875,57.13421630859375
0.00029370200354605913,10624,,0.02676868438720703,0.00018908269703388214,0.004218896850943565,228,1763260136.8927357,443.0,0.0,4.466250538825989e-05,,0.5405475497245789,79.10375213623047,58.364013671875
0.0002935483935289085,10880,,0.19006991386413574,-0.0005481597036123276,-0.0004345579072833061,233,1763260137.4188335,444.0,0.0,2.1294690668582916e-05,,0.5646768808364868,101.70748138427734,58.890111446380615
0.0002928571484517306,12032,,0.23723459243774414,-0.012259215116500854,0.01259629987180233,251,1763260139.670099,450.0,0.0,0.0009488780051469803,,0.5768908262252808,222.5416259765625,61.141376972198486
0.00029262673342600465,12416,,0.07809287309646606,0.001001555472612381,-0.00043814629316329956,259,1763260140.469699,450.0,0.0,5.379319190979004e-06,,0.5735011100769043,85.20232391357422,61.94097685813904
,12691,58.0,,,,265,1763260141.0303402,,,,58.0,,,62.50161814689636
0.0002921659033745527,13184,,0.008992314338684082,-0.000656450167298317,0.0016605621203780174,273,1763260141.985841,453.0,0.0,0.00010512862354516983,,0.5575690865516663,616.0429077148438,63.45711898803711
,13237,225.0,,,,274,1763260142.0255141,,,,225.0,,,63.49679207801819
,14133,90.0,,,,292,1763260143.9046955,,,,90.0,,,65.37597346305847
,15655,104.0,,,,321,1763260146.9177547,,,,104.0,,,68.38903260231018
,16125,183.0,,,,327,1763260147.621688,,,,183.0,,,69.09296584129333
,16239,58.0,,,,330,1763260147.8971548,,,,58.0,,,69.36843276023865
0.0002902457781601697,16384,,0.2566450834274292,0.001320764422416687,0.0020111585035920143,332,1763260148.2736244,463.0,0.0,0.0008014077320694923,,0.5611269474029541,385.4514465332031,69.74490237236023
0.00029001536313444376,16768,,-0.11211645603179932,-0.0012788698077201843,-0.002254958264529705,337,1763260148.9548492,465.0,0.0,0.0003304658457636833,,0.5521066188812256,632.8277587890625,70.42612719535828
,16943,125.0,,,,340,1763260149.231416,,,,125.0,,,70.70269393920898
,19006,114.0,,,,370,1763260152.8427124,,,,114.0,,,74.31399035453796
0.00028847926296293736,19328,,0.545494019985199,-0.0018877498805522919,-0.0003923168405890465,375,1763260153.5072615,476.0,0.0,5.13000413775444e-05,,0.6103271842002869,92.35782623291016,74.97853946685791
0.00028740399284288287,21120,,0.47806763648986816,0.007497388869524002,-0.0004783105105161667,396,1763260156.6064253,483.0,0.017578125,0.004748335108160973,,0.5763512849807739,59.88111877441406,78.07770323753357
,22811,157.0,,,,425,1763260159.7424004,,,,157.0,,,81.21367835998535
0.00028579108766280115,23808,,0.015459895133972168,-0.0001544952392578125,0.0010433988645672798,441,1763260161.6346416,488.0,0.0,0.00013487134128808975,,0.6081820726394653,180.7356414794922,83.10591959953308
,24443,243.0,,,,450,1763260162.6752512,,,,243.0,,,84.14652919769287
,25689,75.0,,,,471,1763260164.9673107,,,,75.0,,,86.43858861923218
,26305,95.0,,,,481,1763260166.1174543,,,,95.0,,,87.58873224258423
,26927,147.0,,,,490,1763260167.2637415,,,,147.0,,,88.73501944541931
,27883,109.0,,,,504,1763260168.8574095,,,,109.0,,,90.3286874294281
0.000282872497336939,28672,,0.8639068603515625,0.002860371023416519,6.428733468055725e-05,515,1763260170.3953404,498.0,0.0,0.00016811303794384003,,0.5849588513374329,73.70272827148438,91.86661839485168
,29667,184.0,,,,530,1763260172.1623309,,,,184.0,,,93.6336088180542
0.0002817972272168845,30464,,0.025303363800048828,0.008741393685340881,-0.0020468411967158318,539,1763260173.529662,502.0,0.0,0.000287364237010479,,0.571894645690918,281.4354553222656,95.00093984603882
,31158,190.0,,,,547,1763260174.6171706,,,,190.0,,,96.0884485244751
,31816,278.0,,,,555,1763260175.698033,,,,278.0,,,97.16931104660034
0.00028079876210540533,32128,,0.6967783570289612,-0.0004475787281990051,-0.0020757699385285378,559,1763260176.3139894,506.0,0.0,6.15948811173439e-05,,0.5470505356788635,109.77469635009766,97.78526735305786
0.0002802611270453781,33024,,0.1478649377822876,-0.012497082352638245,0.005719599314033985,568,1763260177.750849,509.0,0.0,0.0008605988696217537,,0.5356194376945496,192.75730895996094,99.2221269607544
0.0002787250268738717,35584,,-0.18380653858184814,0.010450754314661026,0.0014387592673301697,595,1763260181.7826788,516.0,0.0,0.0016835369169712067,,0.543814480304718,141.51043701171875,103.25395679473877
0.00027788017177954316,36992,,0.9322269558906555,-0.02140369638800621,0.03739164024591446,612,1763260184.1075215,519.0,0.005859375,0.005068305879831314,,0.505547821521759,16.250764846801758,105.57879948616028
,37212,257.0,,,,614,1763260184.3472772,,,,257.0,,,105.81855511665344
0.0002769585116766393,38528,,0.8742508292198181,-0.0017073564231395721,-0.0006075957790017128,630,1763260186.569466,523.0,0.0,2.0070932805538177e-05,,0.495993971824646,62.53828430175781,108.0407440662384
0.0002765744866337627,39168,,0.05836081504821777,-0.011322636157274246,0.010275108739733696,636,1763260187.5024867,525.0,0.005859375,0.0022105202078819275,,0.4028809368610382,142.00521850585938,108.97376465797424
0.00027634407160803676,39552,,0.04080760478973389,-0.000600181519985199,7.843691855669022e-05,640,1763260188.0876477,526.0,0.0,9.148381650447845e-06,,0.46440815925598145,118.44796752929688,109.55892562866211
0.00027580646565183997,40448,,0.46062517166137695,-0.005349535495042801,0.005273900926113129,650,1763260189.526842,528.0,0.0,0.0002908259630203247,,0.4521668255329132,43.043975830078125,110.99812006950378
,41778,500.0,,,,664,1763260191.5119565,,,,500.0,,,112.98323440551758
0.00027380953542888165,43776,,0.00021582841873168945,0.001768103800714016,-0.005669824779033661,684,1763260194.5296626,536.0,0.0,0.0001769736409187317,,0.5130196809768677,642.4599609375,116.00094056129456
0.00027350231539458036,44288,,0.006351351737976074,-0.002092799637466669,0.006475809961557388,689,1763260195.2789187,537.0,0.001953125,0.002226099371910095,,0.4961380064487457,730.721435546875,116.75019669532776
,45228,500.0,,,,698,1763260196.6373343,,,,500.0,,,118.10861229896545
0.00027265746030025184,45696,,-0.04219639301300049,-0.008256770670413971,-0.00201409962028265,702,1763260197.3481452,541.0,0.0078125,0.0026684431359171867,,0.42868977785110474,90.62537384033203,118.81942319869995
0.00027235024026595056,46208,,-0.1316307783126831,0.011753975413739681,0.0035371966660022736,707,1763260198.0957644,542.0,0.0,0.0011021159589290619,,0.4679005444049835,76.90496826171875,119.56704235076904
0.0002710445551201701,48384,,0.06537479162216187,-0.0004934407770633698,-0.001258370466530323,729,1763260201.32283,547.0,0.0,5.648471415042877e-06,,0.4140143096446991,52.671241760253906,122.79410791397095
0.00026935484493151307,51200,,-0.008498668670654297,-0.004765592515468597,0.0025448501110076904,757,1763260205.4768643,553.0,0.0,0.00048109889030456543,,0.49204954504966736,48.726322174072266,126.94814229011536
0.0002690476248972118,51712,,-0.3353714942932129,-0.0036980770528316498,0.0005704276263713837,762,1763260206.194651,554.0,0.0,0.00033718161284923553,,0.48854124546051025,47.61729049682617,127.6659288406372
0.0002687404048629105,52224,,-0.052933692932128906,-0.0006873812526464462,-0.0039440179243683815,767,1763260206.9301643,555.0,0.0,0.00014202576130628586,,0.5334785580635071,41.33256912231445,128.40144228935242
0.0002682795748114586,52992,,0.06519132852554321,-0.002062283456325531,0.0010782647877931595,775,1763260208.0517023,557.0,0.0,5.267001688480377e-05,,0.4072073698043823,36.800262451171875,129.52298021316528
,54314,500.0,,,,788,1763260209.9594455,,,,500.0,,,131.4307234287262
0.0002668970846571028,55296,,0.0019780397415161133,-0.0008879080414772034,-0.005594436079263687,797,1763260211.3632371,561.0,0.0,0.0005906205624341965,,0.4202779531478882,27.632776260375977,132.83451509475708
0.0002663594495970756,56192,,-0.2050929069519043,-0.012181699275970459,-0.003965439274907112,806,1763260212.631384,563.0,0.015625,0.0026554297655820847,,0.4581391215324402,24.132274627685547,134.10266184806824
0.00026582181453704834,57088,,0.0454900860786438,0.002081886865198612,9.786617010831833e-05,815,1763260213.866502,565.0,0.0,8.065719157457352e-05,,0.4622982144355774,16.62051773071289,135.3377799987793
,61802,477.0,,,,863,1763260220.4061265,,,,477.0,,,141.87740445137024
0.00026244239415973425,62720,,-0.042096495628356934,0.0023927241563796997,0.007161187939345837,872,1763260221.7929094,576.0,0.0,0.0009929696097970009,,0.40856215357780457,5.640871524810791,143.26418733596802
0.0002622119791340083,63104,,0.1305389404296875,0.0008883941918611526,0.000661386176943779,876,1763260222.3563075,576.0,0.0,4.017725586891174e-06,,0.3592063784599304,2.9165923595428467,143.8275854587555
0.0002595238038338721,67584,,0.012212097644805908,0.0013689883053302765,-0.0019565830007195473,922,1763260228.718221,583.0,0.0,2.6308931410312653e-05,,0.3913070559501648,1.4841690063476562,150.1894989013672
,68406,500.0,,,,930,1763260229.8382027,,,,500.0,,,151.30948066711426
0.0002585253387223929,69248,,-0.11303818225860596,-0.0016119256615638733,-0.002059708349406719,938,1763260231.0341544,586.0,0.0,0.00020223762840032578,,0.43306222558021545,0.09836407005786896,152.50543236732483
0.0002583717287052423,69504,,0.5420851111412048,-0.017457854002714157,0.00015608873218297958,941,1763260231.315351,587.0,0.0,0.0015987055376172066,,0.3518263101577759,0.0970386266708374,152.7866289615631
0.00025829492369666696,69632,,0.5889525413513184,0.004258394241333008,-0.011392632499337196,942,1763260231.438664,587.0,0.0,0.0011976733803749084,,0.3584480285644531,187.20516967773438,152.9099419116974
0.0002579877036623657,70144,,-19.338760375976562,-0.010420285165309906,-0.0012029632925987244,948,1763260232.0703082,588.0,0.005859375,0.002437729388475418,,0.37192049622535706,45.647361755371094,153.5415861606598
0.00025645160349085927,72704,,-2.4445583820343018,-0.000925891101360321,0.015367211773991585,974,1763260235.6936362,592.0,0.0,0.0036205435171723366,,0.4118203818798065,3.8468422889709473,157.16491413116455
,73343,500.0,,,,980,1763260236.4820635,,,,500.0,,,157.95334148406982
,73843,500.0,,,,985,1763260237.1621826,,,,500.0,,,158.633460521698
,74843,500.0,,,,995,1763260238.6094177,,,,500.0,,,160.08069562911987
0.0002550691133365035,75008,,0.6825734376907349,-0.0015739016234874725,0.0021598879247903824,997,1763260238.9402268,595.0,0.0,3.9031729102134705e-05,,0.4192690849304199,0.05812155082821846,160.4115047454834
,76843,500.0,,,,1015,1763260241.4185808,,,,500.0,,,162.88985872268677
,77343,500.0,,,,1020,1763260242.1227388,,,,500.0,,,163.59401679039001
0.00025299537810496986,78464,,0.18451637029647827,-0.013795925304293633,-0.005002935416996479,1031,1763260243.5903912,600.0,0.01171875,0.004130211658775806,,0.3643859624862671,0.010167364031076431,165.06166911125183
0.0002518433320801705,80384,,-0.5656423568725586,-0.0019952263683080673,0.0013821013271808624,1050,1763260246.1520224,603.0,0.0,3.13296914100647e-05,,0.32043981552124023,0.005666874814778566,167.62330031394958
,80726,500.0,,,,1053,1763260246.5472596,,,,500.0,,,168.0185375213623
,81226,500.0,,,,1058,1763260247.2771018,,,,500.0,,,168.74837970733643
,83726,500.0,,,,1083,1763260250.909835,,,,500.0,,,172.38111305236816
0.00024930876679718494,84608,,0.32055461406707764,-0.00524621456861496,0.00923687033355236,1091,1763260252.158172,607.0,0.0,0.0019614454358816147,,0.4745120406150818,0.0003221908409614116,173.62944984436035
0.0002483871066942811,86144,,-0.7517623901367188,-0.004941882565617561,-0.011378614231944084,1106,1763260254.2609107,609.0,0.0,0.0006386060267686844,,0.4217953383922577,0.00041409701225347817,175.73218870162964
0.0002476958616171032,87296,,-0.000615239143371582,-0.0011117830872535706,-0.010493297129869461,1118,1763260255.8708532,610.0,0.0078125,0.0006003417074680328,,0.4223890006542206,1269.31884765625,177.3421311378479
0.0002472350315656513,88064,,0.4354233145713806,0.023690208792686462,0.030936861410737038,1125,1763260256.871523,611.0,0.02734375,0.013506881892681122,,0.4248632490634918,0.001029709237627685,178.3428008556366
0.0002467742015141994,88832,,-8.58306884765625e-06,-0.000498870387673378,0.0013546952977776527,1133,1763260257.923722,612.0,0.0,0.00020972732454538345,,0.44464290142059326,916.8050537109375,179.3949999809265
0.0002460061514284462,90112,,-0.11353671550750732,-0.0028108637779951096,0.00032254867255687714,1145,1763260259.566514,614.0,0.0,0.00017476268112659454,,0.37986627221107483,0.00029991503106430173,181.03779196739197
0.00024485407629981637,92032,,-0.15179872512817383,-0.008198250085115433,0.008054045028984547,1164,1763260261.4435768,619.0,0.0,0.0020373379811644554,,0.408748984336853,0.001561855897307396,182.91485476493835
0.00024477727129124105,92160,,-0.13442730903625488,-0.0052111102268099785,-0.0019777771085500717,1165,1763260261.5553486,620.0,0.0,0.0002452488988637924,,0.4682758152484894,0.00011947045277338475,183.02662658691406
0.00024439324624836445,92800,,-0.0002504587173461914,0.0025406107306480408,-0.003584827296435833,1172,1763260262.1214495,622.0,0.0,4.6185217797756195e-05,,0.452523410320282,639.9629516601562,183.59272742271423
,93726,500.0,,,,1181,1763260263.0054133,,,,500.0,,,184.47669124603271
,94226,500.0,,,,1186,1763260263.6403427,,,,500.0,,,185.11162066459656
0.00024285714607685804,95360,,0.03594338893890381,0.00032201409339904785,0.0036419034004211426,1197,1763260265.007514,627.0,0.0,0.0006887037307024002,,0.4295967221260071,0.008553305640816689,186.47879195213318
0.00024185868096537888,97024,,-0.01964402198791504,5.9485435485839844e-05,0.005309496074914932,1213,1763260267.017884,629.0,0.0,0.00016004405915737152,,0.416603147983551,0.0013131469022482634,188.4891619682312
,97226,500.0,,,,1215,1763260267.2058575,,,,500.0,,,188.6771354675293
0.00024109063087962568,98304,,-0.0001373291015625,-0.0043738167732954025,0.0005188742652535439,1226,1763260268.6176925,631.0,0.0,0.00018220115453004837,,0.4280138909816742,1359.1968994140625,190.08897042274475
,98726,500.0,,,,1230,1763260269.0852954,,,,500.0,,,190.5565733909607
0.00024055299581959844,99200,,0.6356782913208008,0.02707473188638687,0.017177842557430267,1234,1763260269.644807,633.0,0.0078125,0.005656092427670956,,0.4663424491882324,0.0013861092738807201,191.11608505249023
,100226,500.0,,,,1245,1763260270.9382656,,,,500.0,,,192.4095435142517
,101226,500.0,,,,1254,1763260271.8165739,,,,500.0,,,193.28785181045532
0.00023832565057091415,102912,,0.2178974747657776,-0.024864524602890015,0.03080807253718376,1271,1763260273.4381495,641.0,0.017578125,0.0057002343237400055,,0.4612810015678406,0.005124047864228487,194.9094274044037
0.0002366359403822571,105728,,-5.078315734863281e-05,0.0010168254375457764,0.009770347736775875,1299,1763260276.6264253,645.0,0.0,0.00033803749829530716,,0.5430108308792114,1573.78759765625,198.09770321846008
0.00023417819465976208,109824,,0.00031065940856933594,-0.002767994999885559,-0.021935224533081055,1339,1763260281.6470284,650.0,0.0078125,0.0007192026823759079,,0.5571377277374268,461.54510498046875,203.11830639839172
0.00023410138965118676,109952,,0.26492220163345337,-0.008489346131682396,0.0065356893464922905,1340,1763260281.7895312,651.0,0.00390625,0.002788701094686985,,0.5180222392082214,0.00748854037374258,203.26080918312073
0.00023356375459115952,110848,,0.0007444620132446289,-0.007343672215938568,0.00029282737523317337,1349,1763260282.8722928,652.0,0.0,0.0007222415879368782,,0.48174116015434265,149.2801055908203,204.34357070922852
0.000232718899496831,112256,,0.00010061264038085938,0.007855277508497238,-0.01648828200995922,1363,1763260284.2967677,655.0,0.0,0.0006662318482995033,,0.5717019438743591,1942.203857421875,205.76804566383362
0.00023256528947968036,112512,,-0.07172060012817383,-0.0010060258209705353,0.0028541944921016693,1365,1763260284.5193062,655.0,0.0,9.442493319511414e-05,,0.5855222940444946,0.001962427282705903,205.99058413505554
0.00023225806944537908,113024,,-0.15426242351531982,0.006361020728945732,-0.0034279245883226395,1370,1763260284.9698675,656.0,0.0,0.0015115197747945786,,0.441442608833313,0.0010274400701746345,206.44114542007446
0.00023164362937677652,114048,,-0.08711671829223633,0.004428684711456299,0.004005683586001396,1380,1763260285.901056,659.0,0.0,0.0002006571739912033,,0.48960432410240173,0.0028735939413309097,207.3723340034485
