losses/entropy,charts/episodic_return,losses/explained_variance,charts/learning_rate,losses/old_approx_kl,losses/value_loss,_runtime,losses/policy_loss,_timestamp,losses/approx_kl,losses/clipfrac,global_step,charts/episodic_length,_step,charts/SPS
,,,,,,24.261545181274414,,1763260102.8026853,,,0,,0,
,25.0,,,,,36.168721199035645,,1763260114.7098613,,,152,25.0,7,
,17.0,,,,,37.790218114852905,,1763260116.3313582,,,699,17.0,33,
0.6884589791297913,,-0.007985711097717285,0.00029953918419778347,-0.0040894243866205215,119.9696273803711,38.42005157470703,-0.003883160650730133,1763260116.9611917,0.00019977614283561707,0.0,896,,41,226.0
,22.0,,,,,38.83703804016113,,1763260117.3781781,,,1037,22.0,47,
,56.0,,,,,40.20467019081116,,1763260118.7458103,,,1623,56.0,64,
,37.0,,,,,41.04503917694092,,1763260119.5861793,,,1934,37.0,74,
0.6051534414291382,,0.0029788613319396973,0.0002988479391206056,0.007596667855978012,257.7495422363281,41.31721091270447,0.00025887787342071533,1763260119.858351,0.0009604059159755707,0.0,2048,,77,298.0
,70.0,,,,,42.33062982559204,,1763260120.87177,,,2632,70.0,88,
,340.0,,,,,43.86285662651062,,1763260122.4039967,,,3522,340.0,102,
0.5886553525924683,,-0.058652281761169434,0.00029792627901770175,0.0016044043004512787,271.7807312011719,44.09230923652649,-0.002678344026207924,1763260122.6334493,0.00021600164473056793,0.0,3584,,104,372.0
0.5756388902664185,,0.07182669639587402,0.0002966973988804966,-0.0024641836062073708,302.3046569824219,47.28225111961365,0.0009883493185043335,1763260125.8233912,0.00042503979057073593,0.0,5632,,133,439.0
,159.0,,,,,48.94969129562378,,1763260127.4908314,,,6747,159.0,147,
0.5996204018592834,,0.009882986545562744,0.0002959293487947434,-0.003916766494512558,744.1492919921875,49.27836322784424,0.0016390830278396606,1763260127.8195033,0.00023171305656433105,0.0,6912,,149,466.0
,189.0,,,,,49.31197667121887,,1763260127.8531168,,,6936,189.0,150,
,64.0,,,,,49.7898633480072,,1763260128.3310034,,,7197,64.0,155,
0.5452288389205933,,0.0328180193901062,0.00029569893376901746,0.0002638949081301689,238.63800048828125,49.99137043952942,-0.00023661553859710693,1763260128.5325105,2.784654498100281e-07,0.0,7296,,157,469.0
0.6345808506011963,,0.012311458587646484,0.0002950076886918396,0.0004803221672773361,334.3816833496094,51.969205141067505,0.0015912000089883804,1763260130.5103452,0.00014065392315387726,0.0,8448,,172,482.0
0.5644233226776123,,0.007050633430480957,0.0002940092235803604,-0.004712704569101334,688.4430541992188,55.08826184272766,0.008305072784423828,1763260133.629402,0.00033634714782238007,0.0,10112,,195,490.0
0.5143524408340454,,0.06518673896789551,0.0002936251985374838,0.00032209325581789017,583.425537109375,56.47373127937317,0.009925831109285355,1763260135.0148714,0.00017025042325258255,0.0,10752,,203,488.0
0.5796732902526855,,0.08332192897796631,0.00029308756347745657,0.001211041584610939,222.24221801757812,58.17222309112549,-0.0012335330247879028,1763260136.7133632,4.8333778977394104e-05,0.0,11648,,213,491.0
0.580615758895874,,0.00043398141860961914,0.0002928571484517306,0.0036534471437335014,519.3372192382812,58.82895612716675,0.0212009958922863,1763260137.3700962,0.0023670652881264687,0.0,12032,,217,493.0
,173.0,,,,,60.24022579193115,,1763260138.7813659,,,12856,173.0,228,
,47.0,,,,,60.766252279281616,,1763260139.3073924,,,13122,47.0,233,
,148.0,,,,,63.196632623672485,,1763260141.7377727,,,14558,148.0,251,
,191.0,,,,,64.23879790306091,,1763260142.779938,,,15139,191.0,259,
0.519966721534729,,0.003437817096710205,0.00029070660821162164,0.00011061131954193115,499.9156799316406,65.09816527366638,-0.0005797743797302246,1763260143.6393054,1.263245940208435e-05,0.0,15616,,265,509.0
,181.0,,,,,66.15787506103516,,1763260144.6990151,,,16352,181.0,273,
0.5591152906417847,,0.014093637466430664,0.0002902457781601697,0.007668748497962952,130.61622619628906,66.32801938056946,-0.003050493076443672,1763260144.8691595,8.783303201198578e-05,0.0,16384,,274,514.0
0.5308058261871338,,-0.0010160207748413086,0.0002893241180572659,-0.0017224233597517014,218.6331329345703,68.80798053741455,0.00045732222497463226,1763260147.3491206,2.8073787689208984e-05,0.0,17920,,292,521.0
0.5490802526473999,,0.01295936107635498,0.0002879416279029101,0.001784331165254116,349.57672119140625,72.62222814559937,-0.002592727541923523,1763260151.1633682,4.0576793253421783e-05,0.0,20224,,321,530.0
,247.0,,,,,73.29738783836365,,1763260151.838528,,,20630,247.0,327,
