_step,losses/entropy,_timestamp,charts/episodic_length,losses/explained_variance,charts/episodic_return,losses/approx_kl,_runtime,losses/policy_loss,losses/value_loss,losses/old_approx_kl,charts/SPS,charts/learning_rate,global_step,losses/clipfrac
0,,1763260103.1585703,,,,,24.61218523979187,,,,,,0,
7,,1763260114.7152295,20.0,,20.0,,36.16884446144104,,,,,,159,
33,,1763260116.4323325,23.0,,23.0,,37.885947465896606,,,,,,688,
41,,1763260116.9383929,18.0,,18.0,,38.39200782775879,,,,,,868,
47,,1763260117.3459523,26.0,,26.0,,38.799567222595215,,,,,,1003,
64,0.657220184803009,1763260118.7599797,,0.012867152690887451,,0.00015117600560188293,40.21359467506409,-0.004085887223482132,87.21546173095703,0.006457027047872543,241.0,0.0002992319641634822,1408,0.0
74,,1763260119.4817228,18.0,,18.0,,40.93533778190613,,,,,,1674,
77,,1763260119.753716,79.0,,79.0,,41.20733094215393,,,,,,1807,
88,,1763260120.664069,111.0,,111.0,,42.11768388748169,,,,,,2270,
102,,1763260121.9520915,51.0,,51.0,,43.40570640563965,,,,,,2828,
104,0.6198745369911194,1763260122.1885617,,0.019255220890045166,,0.00016494840383529663,43.64217662811279,0.00044535286724567413,302.5307922363281,0.0021026115864515305,318.0,0.00029831030406057835,2944,0.0
133,0.5966269969940186,1763260124.8580668,,-0.014068365097045898,,0.003070150502026081,46.31168174743652,-0.020063448697328568,317.3482360839844,0.017962634563446045,365.0,0.0002974654489662498,4352,0.001953125
147,,1763260126.3198698,132.0,,132.0,,47.77348470687866,,,,,,5254,
149,,1763260126.5773056,56.0,,56.0,,48.03092050552368,,,,,,5432,
150,,1763260126.6180913,26.0,,26.0,,48.07170629501343,,,,,,5458,
155,0.617072343826294,1763260127.419737,,0.0074149370193481445,,0.002703656442463398,48.87335205078125,-0.009372733533382416,816.6304931640625,0.01714012585580349,406.0,0.000296543788863346,5888,0.0
157,,1763260127.6249704,481.0,,481.0,,49.078585386276245,,,,,,6071,
172,,1763260129.55815,60.0,,60.0,,51.011765003204346,,,,,,7232,
195,,1763260132.9691076,147.0,,147.0,,54.422722578048706,,,,,,9122,
203,0.5961108207702637,1763260134.1761544,,-0.00950610637664795,,1.593027263879776e-05,55.62976932525635,-0.0005724090151488781,265.14337158203125,0.0009100036695599556,451.0,0.0002943164436146617,9600,0.0
213,,1763260135.7965488,129.0,,129.0,,57.25016379356384,,,,,,10410,
217,0.5391117930412292,1763260136.5407841,,0.1221209168434143,,0.0003955494612455368,57.994399070739746,0.0020428933203220367,179.1573486328125,0.002383243292570114,455.0,0.0002936251985374838,10752,0.0
228,,1763260137.8462763,124.0,,124.0,,59.299891233444214,,,,,,11475,
233,0.5313119888305664,1763260138.5371385,,0.04844158887863159,,0.00028366129845380783,59.990753412246704,-0.011010680347681046,218.6977996826172,0.0023678867146372795,459.0,0.00029301075846888125,11776,0.0
251,0.5477128028869629,1763260141.1618085,,-0.006545662879943848,,5.984678864479065e-06,62.61542344093323,0.00040963292121887207,508.2252502441406,-0.00047991424798965454,471.0,0.0002920890983659774,13312,0.0
259,0.581378698348999,1763260142.2603736,,0.0025027990341186523,,4.827044904232025e-05,63.71398854255676,0.0002361685037612915,116.14512634277344,-0.0020783059298992157,475.0,0.0002917050733231008,13952,0.0
265,0.538553774356842,1763260143.1428287,,0.02444589138031006,,0.0009408267214894295,64.59644365310669,0.0016698762774467468,198.44046020507812,0.009238551370799541,478.0,0.0002913978532887995,14464,0.0
273,0.5723398327827454,1763260144.3809433,,0.045790910720825195,,0.00025654491037130356,65.8345582485199,-0.0031765196472406387,473.277099609375,-0.0033501451835036278,484.0,0.0002909370232373476,15232,0.0
274,,1763260144.4232285,466.0,,466.0,,65.87684345245361,,,,,,15264,
292,0.5771591067314148,1763260147.1042035,,0.0005262494087219238,,3.321003168821335e-05,68.55781841278076,-0.002685330808162689,415.8150329589844,-0.0009917272254824638,494.0,0.00028993855812586844,16896,0.0
321,0.601552426815033,1763260151.0212157,,0.003841102123260498,,8.143484592437744e-06,72.4748306274414,-0.00019539892673492432,376.7300109863281,0.0006669666618108749,504.0,0.0002885560679715127,19200,0.0
327,,1763260151.7096682,110.0,,110.0,,73.16328310966492,,,,,,19663,
330,0.5663110017776489,1763260152.1346889,,0.1283687949180603,,0.00010164082050323486,73.58830380439758,-0.0030156299471855164,113.43386840820312,-0.003874579444527626,506.0,0.0002881720429286361,19840,0.0
332,,1763260152.3745742,241.0,,241.0,,73.82818913459778,,,,,,20044,
337,0.6018075942993164,1763260152.9815795,,0.5429450273513794,,6.379280239343643e-05,74.43519449234009,-0.001430518925189972,74.58576202392578,-0.0013929633423686028,508.0,0.0002878648228943348,20352,0.0
