charts/SPS,charts/episodic_length,global_step,losses/clipfrac,losses/explained_variance,charts/learning_rate,_timestamp,losses/entropy,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,_runtime,losses/value_loss,_step
,,0,,,,1763260102.9246955,,,,,,24.393677473068237,,0
,19.0,216,,,,1763260114.7480204,,,,19.0,,36.217002391815186,,7
,14.0,765,,,,1763260116.3868978,,,,14.0,,37.85587978363037,,33
,17.0,923,,,,1763260116.968725,,,,17.0,,38.43770694732666,,41
246.0,,1152,0.0,-0.010124564170837402,0.00029938557418063283,1763260117.6055477,0.658890962600708,-0.0008713416755199432,-0.0010502049699425697,,0.00032956991344690323,39.07452964782715,337.19305419921875,47
,166.0,1880,,,,1763260119.2463138,,,,166.0,,40.71529579162598,,64
323.0,,2432,0.0,-0.03983736038208008,0.00029861752409487963,1763260120.4599671,0.6584994792938232,0.00044693052768707275,0.0016163187101483345,,3.621261566877365e-05,41.92894911766052,318.7421875,74
328.0,,2560,0.0,0.0026817917823791504,0.0002985407190863043,1763260120.7372255,0.6417355537414551,-0.004701361060142517,-0.005838202312588692,,0.0006668027490377426,42.206207513809204,500.5924072265625,77
352.0,,3200,0.0,-0.010049939155578613,0.0002981566940434277,1763260122.0177176,0.6493932008743286,-0.0005002766847610474,-0.0015221862122416496,,4.089530557394028e-05,43.48669958114624,891.7763061523438,88
,33.0,4051,,,,1763260123.495957,,,,33.0,,44.96493887901306,,102
,62.0,4113,,,,1763260123.7305534,,,,62.0,,45.19953536987305,,104
412.0,,5632,0.0,0.007920920848846436,0.0002966973988804966,1763260126.5976267,0.5909432172775269,0.0008603408932685852,0.0013149203732609749,,0.00010603014379739761,48.06660866737366,426.6141052246094,133
425.0,,6528,0.0,0.05800682306289673,0.0002961597638204694,1763260128.2730262,0.5984184741973877,0.0004244372248649597,-0.0005307625979185104,,0.0001687668263912201,49.742008209228516,319.9688415527344,147
427.0,,6656,0.0,0.0684586763381958,0.00029608295881189406,1763260128.5117364,0.590268075466156,-0.0017242892645299435,0.0020454684272408485,,7.062312215566635e-05,49.98071837425232,611.3880615234375,149
,134.0,6686,,,,1763260128.5491812,,,,134.0,,50.018163204193115,,150
430.0,,7040,0.0,-0.0223158597946167,0.0002958525437861681,1763260129.2813537,0.6301376819610596,2.0660459995269775e-05,-0.0006956858560442924,,1.979060471057892e-06,50.750335693359375,861.5811157226562,155
,54.0,7102,,,,1763260129.3717563,,,,54.0,,50.84073829650879,,157
,92.0,7838,,,,1763260131.094454,,,,92.0,,52.56343603134155,,172
,38.0,9148,,,,1763260134.0724714,,,,38.0,,55.54145336151123,,195
,52.0,9539,,,,1763260135.1626754,,,,52.0,,56.63165736198425,,203
426.0,,10112,0.0,0.002220451831817627,0.0002940092235803604,1763260136.6729088,0.5547797083854675,-0.0014505404978990555,0.0007873587310314178,,2.0341947674751282e-05,58.14189076423645,559.302734375,213
,72.0,10308,,,,1763260137.047662,,,,72.0,,58.51664400100708,,217
429.0,,11008,0.0,0.026733875274658203,0.00029347158852033317,1763260138.5891957,0.6057661175727844,6.172806024551392e-05,-5.148816853761673e-05,,5.690380930900574e-07,60.05817770957947,131.30690002441406,228
,41.0,11426,,,,1763260139.3328652,,,,41.0,,60.80184721946716,,233
,80.0,12636,,,,1763260141.6644402,,,,80.0,,63.13342213630676,,251
,118.0,13069,,,,1763260142.6829581,,,,118.0,,64.15194010734558,,259
,226.0,13447,,,,1763260143.4382713,,,,226.0,,64.90725326538086,,265
,130.0,14043,,,,1763260144.447893,,,,130.0,,65.91687488555908,,273
444.0,,14080,0.0,0.014184057712554932,0.0002916282683145255,1763260144.6413057,0.6030034422874451,-4.417449235916138e-05,-0.001803094521164894,,0.00010817870497703552,66.1102876663208,123.57080078125,274
,280.0,15522,,,,1763260147.1621459,,,,280.0,,68.63112783432007,,292
