losses/approx_kl,_runtime,charts/episodic_length,losses/explained_variance,losses/old_approx_kl,global_step,losses/clipfrac,losses/value_loss,losses/policy_loss,charts/episodic_return,losses/entropy,charts/learning_rate,_timestamp,_step,charts/SPS
,24.264720916748047,,,,0,,,,,,,1763260102.797554,0,
,35.46485948562622,21.0,,,102,,,,21.0,,,1763260113.9976926,7,
,37.61205244064331,20.0,,,589,,,,20.0,,,1763260116.1448855,33,
0.00043096672743558884,38.29167628288269,,-0.012366056442260742,-0.0030738292261958122,768,0.0,90.46231079101562,-0.0035324953496456146,,0.6775640845298767,0.0002996159892063588,1763260116.8245094,41,201.0
,38.70740795135498,21.0,,,912,,,,21.0,,,1763260117.240241,47,
8.448772132396698e-05,40.09032464027405,,-0.02380537986755371,-0.0016901902854442596,1408,0.0,824.0045776367188,-0.00047576986253261566,,0.6454364657402039,0.0002992319641634822,1763260118.6231577,64,251.0
,40.826417446136475,38.0,,,1691,,,,38.0,,,1763260119.3592505,74,
,41.11255502700806,71.0,,,1831,,,,71.0,,,1763260119.6453881,77,
,41.86065649986267,26.0,,,2170,,,,26.0,,,1763260120.3934896,88,
,43.12753367424011,21.0,,,2701,,,,21.0,,,1763260121.6603668,102,
9.372364729642868e-05,43.36491894721985,,0.005713045597076416,0.0018078340217471123,2816,0.0,270.0151672363281,-0.0003146417438983917,,0.6086345314979553,0.00029838710906915367,1763260121.897752,104,317.0
,45.63323712348938,53.0,,,3868,,,,53.0,,,1763260124.1660702,133,
1.5251338481903076e-05,46.79853963851929,,-0.0002707242965698242,-6.47418200969696e-05,4480,0.0,233.40838623046875,-0.00029597431421279907,,0.6058748364448547,0.0002973886439576745,1763260125.3313727,147,363.0
0.0003095967695116997,47.00682520866394,,0.0071866512298583984,-0.001002454198896885,4608,0.0,644.9591674804688,-0.00044501200318336487,,0.6057091951370239,0.0002973118389490992,1763260125.5396583,149,368.0
,47.04401993751526,112.0,,,4616,,,,112.0,,,1763260125.576853,150,
3.86703759431839e-05,47.49099111557007,,0.02541518211364746,0.00026600807905197144,4864,0.0,320.5306396484375,0.00012979656457901,,0.6232102513313293,0.00029715822893194854,1763260126.0238242,155,374.0
0.00023323576897382736,47.68040442466736,,0.021488070487976074,-0.0032216468825936317,4992,0.0,262.78741455078125,-0.004407614469528198,,0.62087082862854,0.0002970814239233732,1763260126.2132375,157,378.0
,49.00014114379883,129.0,,,5679,,,,129.0,,,1763260127.5329742,172,
0.0006096158176660538,51.52769923210144,,0.09193933010101318,0.0012319888919591904,7040,0.0,322.852294921875,-0.0061821043491363525,,0.6373788714408875,0.0002958525437861681,1763260130.0605323,195,413.0
,52.32800269126892,107.0,,,7446,,,,107.0,,,1763260130.8608358,203,
0.0001753922551870346,53.59669089317322,,-0.012727737426757812,0.006888249889016151,8064,0.0,609.7190551757812,-0.0015613958239555359,,0.5798937678337097,0.00029523810371756554,1763260132.129524,213,422.0
,53.92769980430603,22.0,,,8250,,,,22.0,,,1763260132.460533,217,
,55.31833267211914,133.0,,,8891,,,,133.0,,,1763260133.8511658,228,
,56.156965255737305,172.0,,,9277,,,,172.0,,,1763260134.6897984,233,
,58.642645597457886,159.0,,,10457,,,,159.0,,,1763260137.1754787,251,
,59.59662580490112,95.0,,,10945,,,,95.0,,,1763260138.129459,259,
,60.167195558547974,64.0,,,11147,,,,64.0,,,1763260138.7000287,265,
2.4524517357349396e-05,61.1432740688324,,0.019230544567108154,0.0010831085965037346,11648,0.0,130.61172485351562,-0.0017239265143871307,,0.5618769526481628,0.00029308756347745657,1763260139.6761072,273,436.0
,61.19902539253235,167.0,,,11761,,,,167.0,,,1763260139.7318585,274,
6.938353180885315e-06,63.32158541679382,,0.04744899272918701,0.0002796035259962082,12800,0.0,152.5261688232422,-0.0005003400146961212,,0.5384073257446289,0.0002923963184002787,1763260141.8544185,292,443.0
0.0001209033653140068,67.86512470245361,,0.2508184313774109,0.006214193068444729,15488,0.0,374.3616943359375,-0.003792785108089447,,0.5626968741416931,0.00029078341322019696,1763260146.3979578,327,464.0
,68.15852117538452,161.0,,,15703,,,,161.0,,,1763260146.6913543,330,
0.00040792860090732574,68.50908875465393,,0.03235673904418945,0.0004927441477775574,15872,0.0,457.47064208984375,-0.0013233944773674011,,0.5177493095397949,0.000290552998194471,1763260147.0419219,332,466.0
,69.1651291847229,219.0,,,16282,,,,219.0,,,1763260147.6979623,337,
0.000427895225584507,69.60449528694153,,0.5320903658866882,0.010593417100608349,16512,0.0,91.79256439208984,-0.008440401405096054,,0.5429445505142212,0.0002901689731515944,1763260148.1373284,340,470.0
0.00014861486852169037,73.37342619895935,,0.00010311603546142578,-0.005598302930593491,18688,0.0,433.9101257324219,0.007477018982172012,,0.4699166417121887,0.00028886328800581396,1763260151.9062593,370,480.0
0.00022895634174346924,76.68124985694885,,0.4477272629737854,0.0023314598947763443,20608,0.0,165.21218872070312,0.0001945197582244873,,0.5881332755088806,0.00028771121287718415,1763260155.214083,396,488.0
,80.28454089164734,191.0,,,22707,,,,191.0,,,1763260158.817374,425,
6.119627505540848e-05,82.27542853355408,,0.0166204571723938,0.0022194543853402138,23808,0.0,168.65188598632812,0.0021505802869796753,,0.48489779233932495,0.00028579108766280115,1763260160.8082616,441,498.0
,83.27237033843994,82.0,,,24421,,,,82.0,,,1763260161.8052034,450,
8.043460547924042e-05,85.82819437980652,,0.7108689546585083,0.0009158458560705185,25856,0.0,57.95762634277344,0.0007517766207456589,,0.47115540504455566,0.000284562207525596,1763260164.3610275,471,503.0
0.0004360359162092209,87.09934735298157,,0.593520998954773,0.004361903294920921,26624,0.0,69.461669921875,-0.005135979503393173,,0.44547832012176514,0.0002841013774741441,1763260165.6321805,481,506.0
,88.19252443313599,151.0,,,27296,,,,151.0,,,1763260166.7253575,490,
