losses/clipfrac,losses/entropy,losses/explained_variance,losses/policy_loss,_step,charts/learning_rate,global_step,charts/SPS,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,charts/episodic_return,_runtime,_timestamp,losses/value_loss
,,,,0,,0,,,,,,24.516829013824463,1763260103.04219,
,,,,7,,165,,,,37.0,37.0,36.18708562850952,1763260114.7124467,
,,,,33,,722,,,,15.0,15.0,37.838690757751465,1763260116.3640518,
,,,,41,,1016,,,,69.0,69.0,38.45871448516846,1763260116.9840755,
0.0,0.6521170735359192,0.006185173988342285,-0.0008449889719486237,47,0.00029938557418063283,1152,249.0,0.0007825698703527451,-0.011972123757004738,,,39.02119541168213,1763260117.5465565,134.09298706054688
,,,,64,,1702,,,,47.0,47.0,40.40490412712097,1763260118.9302652,
,,,,74,,2111,,,,75.0,75.0,41.2889449596405,1763260119.814306,
,,,,77,,2213,,,,74.0,74.0,41.566490173339844,1763260120.0918512,
0.0,0.6345300078392029,0.01624244451522827,0.0025410503149032593,88,0.0002985407190863043,2560,319.0,2.597365528345108e-05,-0.003948814235627651,,,42.42883658409119,1763260120.9541976,147.7393341064453
,,,,102,,3310,,,,48.0,48.0,43.80461597442627,1763260122.329977,
,,,,104,,3429,,,,119.0,119.0,44.03206276893616,1763260122.5574238,
0.0,0.6487032175064087,0.04702562093734741,-0.00037984922528266907,133,0.00029715822893194854,4864,390.0,7.061287760734558e-05,-0.003977905958890915,,,46.86519765853882,1763260125.3905587,274.13934326171875
,,,,147,,5618,,,,148.0,148.0,48.12313890457153,1763260126.6485,
,,,,149,,5708,,,,90.0,90.0,48.328513622283936,1763260126.8538747,
,,,,150,,5744,,,,36.0,36.0,48.366047859191895,1763260126.891409,
,,,,155,,6018,,,,140.0,140.0,49.02826404571533,1763260127.553625,
,,,,157,,6232,,,,88.0,88.0,49.29636836051941,1763260127.8217294,
,,,,172,,6993,,,,147.0,147.0,50.83014726638794,1763260129.3555083,
0.0,0.6120481491088867,0.026105880737304688,-0.006818071007728577,195,0.00029523810371756554,8064,426.0,0.00014721974730491638,0.0017026383429765701,,,53.30519199371338,1763260131.830553,78.16261291503906
,,,,203,,8465,,,,69.0,69.0,54.20263862609863,1763260132.7279997,
,,,,213,,9014,,,,174.0,174.0,55.4192316532135,1763260133.9445927,
,,,,217,,9284,,,,173.0,173.0,56.01583647727966,1763260134.5411975,
,,,,228,,9875,,,,140.0,140.0,57.55245327949524,1763260136.0778143,
,,,,233,,10218,,,,85.0,85.0,58.14774990081787,1763260136.673111,
,,,,251,,11205,,,,106.0,106.0,60.24639654159546,1763260138.7717576,
,,,,259,,11764,,,,100.0,100.0,61.27545142173767,1763260139.8008125,
0.0,0.6170094013214111,0.12598633766174316,-0.0013707950711250305,265,0.0002928571484517306,12032,436.0,5.065463483333588e-06,-0.0011482900008559227,,,61.991875410079956,1763260140.5172365,166.65298461914062
,,,,273,,12462,,,,139.0,139.0,62.78631377220154,1763260141.3116748,
0.0,0.6356821060180664,0.004553377628326416,0.0005622431635856628,274,0.00029254992841742933,12544,438.0,5.064532160758972e-06,-0.0002437494695186615,,,62.98468518257141,1763260141.5100462,196.39358520507812
0.0,0.5913434624671936,-0.005074024200439453,0.0004497356712818146,292,0.00029185868334025145,13696,446.0,1.8252059817314148e-05,0.0007109194993972778,,,65.09872007369995,1763260143.6240811,77.44917297363281
,,,,321,,15583,,,,88.0,88.0,68.4420804977417,1763260146.9674416,
0.0,0.622065544128418,-0.0395125150680542,-0.002120610326528549,327,0.0002904761931858957,16000,458.0,0.000133453868329525,-0.0007460815832018852,,,69.2871925830841,1763260147.8125536,451.359619140625
0.041015625,0.6139913201332092,0.34980958700180054,0.008093969896435738,330,0.00029032258316874504,16256,460.0,0.003458090126514435,-0.0018618032336235046,,,69.70757865905762,1763260148.2329397,268.569091796875
,,,,332,,16324,,,,43.0,43.0,69.78529906272888,1763260148.3106601,
,,,,337,,16685,,,,146.0,146.0,70.47582602500916,1763260149.001187,
0.0,0.6019893288612366,-0.021107077598571777,-0.0007635075598955154,340,0.00028993855812586844,16896,463.0,4.99282032251358e-06,-0.00032999273389577866,,,70.90158200263977,1763260149.426943,118.33378601074219
