charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl,charts/episodic_length,_timestamp,charts/episodic_return,losses/entropy,_runtime,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac,losses/approx_kl
,,,,,1763260103.086723,,,24.542623043060303,,0,0,,,
,,,,16.0,1763260114.0062747,16.0,,35.46217465400696,,119,7,,,
0.00029976959922350943,0.010038673877716064,161.0,0.0034284256398677826,,1763260116.097205,,0.689083456993103,37.553104877471924,-0.0033702999353408813,512,33,42.17706298828125,0.0,0.0006603114306926727
,,,,33.0,1763260116.609962,33.0,,38.06586194038391,,667,41,,,
,,,,44.0,1763260117.0237217,44.0,,38.47962164878845,,817,47,,,
,,,,70.0,1763260118.476162,70.0,,39.93206191062927,,1324,64,,,
,,,,94.0,1763260119.391413,94.0,,40.847312927246094,,1777,74,,,
,,,,75.0,1763260119.6626394,75.0,,41.118539333343506,,1918,77,,,
0.00029869432910345495,0.0016502141952514648,298.0,0.004563203081488609,,1763260120.6615324,,0.5974876880645752,42.11743235588074,-0.0009149042889475822,2304,88,157.8518829345703,0.0,0.00012022443115711212
0.00029831030406057835,-0.0005582571029663086,327.0,0.006510007195174694,,1763260121.923147,,0.6148184537887573,43.37904691696167,0.008619409054517746,2944,102,270.5188903808594,0.0,0.0003952542319893837
,,,,56.0,1763260122.014946,56.0,,43.47084593772888,,3071,104,,,
,,,,216.0,1763260125.1445866,216.0,,46.600486516952515,,4934,133,,,
,,,,216.0,1763260126.756181,216.0,,48.21208095550537,,5993,147,,,
,,,,71.0,1763260126.949283,71.0,,48.40518283843994,,6064,149,,,
,,,,67.0,1763260126.9938457,67.0,,48.449745655059814,,6131,150,,,
,,,,159.0,1763260127.6260147,159.0,,49.08191466331482,,6416,155,,,
,,,,126.0,1763260127.8520205,126.0,,49.30792045593262,,6542,157,,,
,,,,257.0,1763260129.7919958,257.0,,51.24789571762085,,7725,172,,,
0.00029447005363181233,0.06066584587097168,469.0,0.008203805424273014,,1763260132.8582997,,0.5594150424003601,54.314199686050415,-0.017278045415878296,9344,195,177.08621215820312,0.001953125,0.003140905871987343
0.00029416283359751105,0.04941701889038086,469.0,0.002079254947602749,,1763260133.9173908,,0.6028590202331543,55.37329077720642,-0.00620647519826889,9856,203,379.7525634765625,0.0,0.00030755531042814255
0.00029370200354605913,0.21414166688919067,469.0,-0.0017709257081151009,,1763260135.5694797,,0.6088590621948242,57.02537965774536,0.005078604444861412,10624,213,345.60430908203125,0.0,0.00015359651297330856
