_step,_runtime,global_step,_timestamp,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss,charts/episodic_length,charts/episodic_return
0,24.334866285324097,0,1763260093.8500922,,,,,,,,,,,
7,26.431859254837036,128,1763260095.9470851,0.0005513932555913925,-0.0002771615982055664,0.006626248359680176,0.0,-0.012497134506702423,0.6925345063209534,0.0003000000142492354,736.0,74.92154693603516,,
33,26.945055723190308,708,1763260096.4602816,,,,,,,,,,42.0,42.0
41,27.080106735229492,876,1763260096.5953326,,,,,,,,,,22.0,22.0
47,27.284687995910645,1047,1763260096.799914,,,,,,,,,,58.0,58.0
64,27.676244258880615,1440,1763260097.1914701,,,,,,,,,,36.0,36.0
74,27.91583752632141,1704,1763260097.4310634,,,,,,,,,,37.0,37.0
77,28.021530866622925,1803,1763260097.5367568,,,,,,,,,,65.0,65.0
88,28.289414644241333,2151,1763260097.8046405,,,,,,,,,,39.0,39.0
102,28.85573983192444,2688,1763260098.3709657,0.00015037506818771362,-0.02040565013885498,-0.0017871763557195663,0.0,0.0028154123574495316,0.6402510404586792,0.000298463914077729,1034.0,834.3382568359375,,
104,28.8726749420166,2726,1763260098.3879008,,,,,,,,,,10.0,10.0
133,29.928229093551636,3840,1763260099.443455,0.00012765824794769287,-0.043631792068481445,-0.003022037446498871,0.0,-0.0012330450117588043,0.644737958908081,0.0002977726690005511,1046.0,246.5243682861328,,
147,30.532607555389404,4560,1763260100.0478334,,,,,,,,,,97.0,97.0
149,30.749943256378174,4736,1763260100.2651691,0.004039924591779709,-0.03709530830383301,-0.01370564941316843,0.015625,0.01577344536781311,0.6197528839111328,0.00029723503394052386,1054.0,944.5892944335938,,
150,30.766048908233643,4780,1763260100.2812748,,,,,,,,,,220.0,220.0
155,30.989423274993896,5019,1763260100.5046492,,,,,,,,,,50.0,50.0
157,31.093106508255005,5120,1763260100.6083324,8.243415504693985e-05,0.01578652858734131,-0.001923651434481144,0.0,0.0018687918782234192,0.6103668212890625,0.0002970046189147979,1058.0,202.30075073242188,,
172,31.906853914260864,6016,1763260101.4220798,1.035444438457489e-05,-0.03813481330871582,0.0009153317660093307,0.0,-0.00091513991355896,0.6252225041389465,0.00029646698385477066,1064.0,962.1578369140625,,
195,33.16668200492859,7424,1763260102.681908,1.1252239346504211e-05,-0.004525899887084961,-0.001827150583267212,0.0,0.0009521022439002991,0.581902265548706,0.00029562212876044214,1074.0,149.1743927001953,,
203,33.61676001548767,7936,1763260103.131986,3.450270742177963e-05,0.027681052684783936,-0.00040675606578588486,0.0,-0.0025851987302303314,0.5969021320343018,0.00029531490872614086,1078.0,643.9978637695312,,
213,34.10921907424927,8493,1763260103.624445,,,,,,,,,,119.0,119.0
