episodic_return,global_step
15,15
16,31
14,45
11,56
18,74
51,125
38,163
42,205
14,219
28,247
33,280
17,297
13,310
19,329
76,405
53,458
21,479
12,491
17,508
14,522
36,558
19,577
28,605
23,628
15,643
23,666
18,684
31,715
27,742
22,764
23,787
16,803
40,843
16,859
20,879
16,895
49,944
16,960
18,978
58,1036
17,1053
39,1092
45,1137
22,1159
27,1186
63,1249
72,1321
33,1354
19,1373
45,1418
78,1496
21,1517
28,1545
63,1608
52,1660
24,1684
15,1699
100,1799
46,1845
23,1868
21,1889
43,1932
77,2009
60,2069
49,2118
64,2182
44,2226
65,2291
110,2401
31,2432
59,2491
130,2621
93,2714
90,2804
31,2835
114,2949
46,2995
70,3065
174,3239
105,3344
154,3498
117,3615
46,3661
73,3734
125,3859
55,3914
41,3955
209,4164
43,4207
107,4314
193,4507
145,4652
74,4726
160,4886
69,4955
93,5048
34,5082
67,5149
124,5273
46,5319
79,5398
120,5518
141,5659
87,5746
32,5778
61,5839
36,5875
138,6013
27,6040
108,6148
192,6340
17,6357
125,6482
85,6567
124,6691
120,6811
40,6851
176,7027
69,7096
110,7206
72,7278
54,7332
76,7408
83,7491
70,7561
93,7654
118,7772
161,7933
152,8085
100,8185
25,8210
75,8285
132,8417
131,8548
141,8689
152,8841
144,8985
128,9113
94,9207
68,9275
305,9580
169,9749
248,9997
70,10067
148,10215
82,10297
56,10353
95,10448
195,10643
136,10779
46,10825
105,10930
207,11137
399,11536
197,11733
308,12041
102,12143
121,12264
117,12381
197,12578
87,12665
111,12776
206,12982
192,13174
161,13335
111,13446
94,13540
116,13656
81,13737
17,13754
125,13879
150,14029
136,14165
118,14283
102,14385
278,14663
133,14796
118,14914
59,14973
89,15062
234,15296
35,15331
87,15418
165,15583
159,15742
72,15814
74,15888
202,16090
192,16282
60,16342
206,16548
308,16856
143,16999
217,17216
217,17433
375,17808
113,17921
126,18047
152,18199
140,18339
236,18575
353,18928
165,19093
190,19283
500,19783
171,19954
282,20236
143,20379
160,20539
218,20757
242,20999
191,21190
500,21690
143,21833
128,21961
200,22161
421,22582
295,22877
120,22997
163,23160
145,23305
187,23492
159,23651
119,23770
197,23967
146,24113
147,24260
120,24380
87,24467
153,24620
164,24784
218,25002
142,25144
96,25240
275,25515
134,25649
134,25783
183,25966
111,26077
104,26181
210,26391
149,26540
186,26726
159,26885
130,27015
156,27171
203,27374
244,27618
134,27752
257,28009
198,28207
253,28460
211,28671
189,28860
180,29040
201,29241
165,29406
237,29643
184,29827
195,30022
236,30258
154,30412
286,30698
450,31148
140,31288
500,31788
257,32045
397,32442
500,32942
467,33409
241,33650
351,34001
244,34245
427,34672
467,35139
375,35514
343,35857
404,36261
302,36563
419,36982
500,37482
479,37961
500,38461
500,38961
210,39171
500,39671
175,39846
120,39966
242,40208
417,40625
486,41111
442,41553
346,41899
178,42077
244,42321
500,42821
482,43303
83,43386
500,43886
232,44118
251,44369
103,44472
76,44548
130,44678
464,45142
212,45354
225,45579
144,45723
376,46099
312,46411
500,46911
389,47300
356,47656
282,47938
500,48438
500,48938
500,49438
354,49792
500,50292
500,50792
500,51292
500,51792
500,52292
500,52792
500,53292
363,53655
373,54028
287,54315
500,54815
329,55144
500,55644
427,56071
277,56348
335,56683
385,57068
500,57568
287,57855
325,58180
131,58311
500,58811
450,59261
207,59468
178,59646
345,59991
197,60188
497,60685
211,60896
410,61306
383,61689
280,61969
365,62334
445,62779
460,63239
180,63419
453,63872
307,64179
319,64498
500,64998
123,65121
154,65275
500,65775
248,66023
500,66523
336,66859
500,67359
500,67859
500,68359
381,68740
186,68926
500,69426
500,69926
500,70426
500,70926
500,71426
500,71926
314,72240
500,72740
344,73084
500,73584
500,74084
500,74584
500,75084
500,75584
500,76084
500,76584
500,77084
500,77584
500,78084
500,78584
500,79084
500,79584
500,80084
500,80584
500,81084
500,81584
500,82084
500,82584
500,83084
500,83584
500,84084
500,84584
500,85084
500,85584
500,86084
500,86584
500,87084
500,87584
500,88084
500,88584
500,89084
500,89584
500,90084
500,90584
500,91084
500,91584
500,92084
500,92584
500,93084
500,93584
500,94084
500,94584
500,95084
500,95584
500,96084
500,96584
500,97084
500,97584
500,98084
500,98584
500,99084
500,99584
500,100084
500,100584
500,101084
500,101584
500,102084
500,102584
500,103084
500,103584
500,104084
500,104584
500,105084
500,105584
500,106084
500,106584
500,107084
500,107584
500,108084
500,108584
500,109084
500,109584
500,110084
500,110584
500,111084
500,111584
229,111813
500,112313
500,112813
500,113313
500,113813
500,114313
500,114813
500,115313
500,115813
500,116313
500,116813
500,117313
500,117813
138,117951
48,117999
214,118213
141,118354
500,118854
150,119004
118,119122
500,119622
500,120122
500,120622
500,121122
500,121622
500,122122
500,122622
500,123122
500,123622
500,124122
500,124622
500,125122
500,125622
500,126122
500,126622
500,127122
500,127622
500,128122
500,128622
500,129122
500,129622
500,130122
500,130622
500,131122
500,131622
500,132122
500,132622
500,133122
500,133622
500,134122
500,134622
500,135122
500,135622
500,136122
500,136622
500,137122
500,137622
500,138122
500,138622
500,139122
500,139622
500,140122
500,140622
500,141122
500,141622
500,142122
500,142622
500,143122
500,143622
500,144122
500,144622
500,145122
500,145622
500,146122
500,146622
500,147122
500,147622
500,148122
500,148622
500,149122
500,149622
500,150122
500,150622
500,151122
500,151622
500,152122
17,152139
500,152639
500,153139
500,153639
500,154139
500,154639
500,155139
500,155639
500,156139
500,156639
500,157139
500,157639
500,158139
500,158639
500,159139
500,159639
500,160139
500,160639
500,161139
500,161639
15,161654
117,161771
500,162271
500,162771
500,163271
45,163316
500,163816
500,164316
302,164618
226,164844
16,164860
403,165263
500,165763
15,165778
190,165968
500,166468
70,166538
500,167038
320,167358
500,167858
500,168358
500,168858
221,169079
110,169189
500,169689
500,170189
500,170689
500,171189
500,171689
500,172189
500,172689
500,173189
500,173689
500,174189
500,174689
500,175189
500,175689
500,176189
500,176689
500,177189
500,177689
500,178189
500,178689
500,179189
500,179689
500,180189
500,180689
187,180876
500,181376
500,181876
500,182376
500,182876
500,183376
500,183876
500,184376
500,184876
500,185376
500,185876
500,186376
500,186876
500,187376
500,187876
500,188376
500,188876
500,189376
500,189876
500,190376
500,190876
500,191376
500,191876
500,192376
500,192876
500,193376
500,193876
491,194367
500,194867
500,195367
261,195628
384,196012
