_step,_runtime,global_step,_timestamp,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,24.369155406951904,0,1763260093.9058344,,,,,,,,,,,
7,26.435977935791016,196,1763260095.972657,105.0,105.0,,,,,,,,,
33,27.017462253570557,768,1763260096.5541413,,,0.00016395840793848038,0.005297958850860596,0.0037536313757300377,0.0,1.5769153833389282e-05,0.67942214012146,0.0002996159892063588,983.0,111.81004333496094
41,27.159316778182983,940,1763260096.6959958,33.0,33.0,,,,,,,,,
47,27.300448417663574,1132,1763260096.8371274,35.0,35.0,,,,,,,,,
64,27.806203842163086,1648,1763260097.3428829,49.0,49.0,,,,,,,,,
74,28.120403289794922,1921,1763260097.6570823,45.0,45.0,,,,,,,,,
77,28.234891653060913,2048,1763260097.7715707,,,0.0019388757646083832,0.01884514093399048,0.01902029663324356,0.0,0.00036078691482543945,0.6213653087615967,0.0002988479391206056,1024.0,326.5898742675781
88,28.861262559890747,2779,1763260098.3979416,309.0,309.0,,,,,,,,,
102,29.53805112838745,3502,1763260099.0747302,95.0,95.0,,,,,,,,,
104,29.643526315689087,3603,1763260099.1802053,101.0,101.0,,,,,,,,,
133,31.189064502716064,5310,1763260100.7257435,183.0,183.0,,,,,,,,,
147,31.980679035186768,6144,1763260101.517358,,,7.359776645898819e-05,0.05880612134933472,0.0001797126606106758,0.0,-0.00037297606468200684,0.5920271873474121,0.00029639017884619534,1069.0,85.42048645019531
149,32.093592166900635,6272,1763260101.6302712,,,1.4639459550380707e-05,0.0188901424407959,-0.0003364281728863716,0.0,9.085237979888916e-05,0.5931088924407959,0.00029631337383762,1070.0,230.66897583007812
150,32.11656045913696,6332,1763260101.6532395,115.0,115.0,,,,,,,,,
155,32.35259294509888,6608,1763260101.889272,76.0,76.0,,,,,,,,,
157,32.4623908996582,6723,1763260101.99907,115.0,115.0,,,,,,,,,
172,33.3943510055542,7774,1763260102.93103,51.0,51.0,,,,,,,,,
195,35.10232901573181,9227,1763260104.639008,222.0,222.0,,,,,,,,,
203,35.62303948402405,9728,1763260105.1597185,,,0.00042160414159297943,0.4678773283958435,-0.0059129539877176285,0.0,0.004618935286998749,0.6045438051223755,0.0002942396386060864,1036.0,229.35340881347656
213,36.21067762374878,10362,1763260105.7473567,144.0,144.0,,,,,,,,,
217,36.54422330856323,10624,1763260106.0809023,,,0.00023575033992528915,0.04530256986618042,-0.007171520031988621,0.0,0.0005722306668758392,0.6145102381706238,0.00029370200354605913,1030.0,143.2063751220703
228,37.26864457130432,11392,1763260106.8053236,,,1.374073326587677e-05,0.2200549840927124,0.001217251643538475,0.0,-0.0014895498752593994,0.6237176060676575,0.0002932411734946072,1032.0,78.02181243896484
233,37.60755443572998,11776,1763260107.1442335,,,1.8584541976451874e-05,0.10631805658340454,0.0016124946996569633,0.0,-0.0012893714010715485,0.6100456118583679,0.00029301075846888125,1035.0,260.9132080078125
251,38.573795557022095,12800,1763260108.1104746,,,7.670000195503235e-05,0.1111830472946167,0.002786744385957718,0.0,0.000741841271519661,0.6087761521339417,0.0002923963184002787,1037.0,375.3693542480469
259,38.925854444503784,13184,1763260108.4625335,,,1.0777264833450317e-05,0.0010135769844055176,-0.00011847540736198425,0.0,-7.89538025856018e-05,0.6264445781707764,0.0002921659033745527,1038.0,165.70008850097656
265,39.319175720214844,13568,1763260108.8558547,,,7.865019142627716e-05,0.2717433571815491,0.004954546689987183,0.0,-0.002680126577615738,0.6160008311271667,0.00029193548834882677,1037.0,94.2864761352539
