_step,_timestamp,losses/entropy,charts/episodic_length,charts/learning_rate,charts/SPS,losses/value_loss,losses/explained_variance,_runtime,charts/episodic_return,losses/approx_kl,losses/clipfrac,global_step,losses/old_approx_kl,losses/policy_loss
0,1763260102.1946633,,,,,,,24.28503727912903,,,,0,,
7,1763260104.2333722,0.6927955150604248,,0.0003000000142492354,443.0,119.63020324707031,0.008571624755859375,26.32374620437622,,0.0003691054880619049,0.0,128,0.0010114088654518127,0.00036216527223587036
33,1763260104.834885,,43.0,,,,,26.92525887489319,43.0,,,675,,
41,1763260105.0527706,,73.0,,,,,27.143144607543945,73.0,,,870,,
47,1763260105.207549,,23.0,,,,,27.29792308807373,23.0,,,972,,
64,1763260105.7778099,,27.0,,,,,27.868183851242065,27.0,,,1453,,
74,1763260106.2090094,0.5838638544082642,,0.00029900154913775623,791.0,1365.406494140625,0.011157214641571045,28.299383401870728,,0.00015239231288433075,0.0,1792,0.0015288926661014557,-0.0001163184642791748
77,1763260106.2514427,,56.0,,,,,28.341816663742065,56.0,,,1906,,
88,1763260106.7257314,,39.0,,,,,28.816105365753174,39.0,,,2355,,
102,1763260107.417494,,118.0,,,,,29.50786805152893,118.0,,,3132,,
104,1763260107.5180764,,84.0,,,,,29.608450412750244,84.0,,,3216,,
133,1763260109.0972483,,90.0,,,,,31.18762230873108,90.0,,,4977,,
147,1763260109.9130425,,88.0,,,,,32.003416538238525,88.0,,,5839,,
149,1763260110.0399117,,153.0,,,,,32.13028573989868,153.0,,,5992,,
150,1763260110.1194892,0.6226769685745239,,0.00029646698385477066,974.0,596.2117919921875,0.015126228332519531,32.20986318588257,,2.5695189833641052e-06,0.0,6016,-0.0003808727487921715,6.674975156784058e-05
155,1763260110.3722172,,54.0,,,,,32.46259117126465,54.0,,,6327,,
157,1763260110.5040405,,175.0,,,,,32.594414472579956,175.0,,,6502,,
172,1763260111.336098,,123.0,,,,,33.42647194862366,123.0,,,7407,,
195,1763260113.1953878,0.5821564793586731,,0.0002947004686575383,968.0,176.65447998046875,0.06516313552856445,35.28576183319092,,6.81411474943161e-05,0.0,8960,0.0003557521849870682,-0.0005884915590286255
